accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,trial
18.44444444,55.11111111,5.555555556,60.66666667,59.44444444,29.11111111,,,,,,,,,,38.05555555,1.580418066,1
79.55555556,3,22.66666667,17.33333333,15.66666667,14.88888889,,,,,,,,,,25.51851852,1.406855458,2
23.44444444,1.555555556,7.333333333,17.66666667,22,4.555555556,,,,,,,,,,12.75925926,1.105825462,3
40.11111111,8.666666667,5.444444444,11.66666667,12.22222222,16.66666667,,,,,,,,,,15.7962963,1.198555271,4
0.444444444,1.444444444,3.555555556,5.666666667,13.11111111,5,,,,,,,,,,4.87037037,0.687561989,5
0.888888889,0.444444444,8.666666667,4.111111111,5.222222222,3.333333333,,,,,,,,,,3.777777778,0.577236408,6
10,10.11111111,13.55555556,6.111111111,7,1.555555556,,,,,,,,,,8.055555556,0.906095497,7
3.666666667,12.77777778,2.444444444,4.888888889,0.222222222,7.222222222,,,,,,,,,,5.203703704,0.71631256,8
14.11111111,1.777777778,3.666666667,8.444444444,5.222222222,4,,,,,,,,,,6.203703704,0.792651047,9
4.444444444,5.666666667,3,5.111111111,5.333333333,7.222222222,,,,,,,,,,5.12962963,0.710086009,10
8.333333333,5.333333333,3,3.222222222,1.333333333,9.333333333,,,,,,,,,,5.092592592,0.706938934,11
5.222222222,2.444444444,0.444444444,0.222222222,11.44444444,6.555555556,,,,,,,,,,4.388888888,0.642354586,12
11.55555556,6.222222222,7.777777778,10.22222222,21.44444444,1.888888889,,,,,,,,,,9.851851852,0.993517872,13
2.888888889,4.333333333,12.88888889,2,11,10.22222222,,,,,,,,,,7.222222222,0.858670847,14
0.555555556,7.777777778,2.444444444,11.88888889,1.666666667,5,,,,,,,,,,4.888888889,0.689210167,15
5.888888889,0.222222222,10.11111111,16.44444444,4.777777778,12.77777778,,,,,,,,,,8.37037037,0.922744675,16
1.111111111,0.222222222,1,10.77777778,6.222222222,4.222222222,,,,,,,,,,3.925925926,0.593942101,17
2.666666667,8.555555556,10.22222222,4,4.111111111,9.666666667,,,,,,,,,,6.537037037,0.815380946,18
25,2.222222222,15.44444444,9.555555556,3.888888889,12.33333333,,,,,,,,,,11.40740741,1.057186952,19
18.11111111,8,8.333333333,2,2.888888889,13,,,,,,,,,,8.722222222,0.940627147,20
9,4.333333333,0.111111111,9.777777778,7.222222222,11.33333333,,,,,,,,,,6.962962962,0.842794085,21
3.666666667,4.111111111,0.222222222,2.222222222,8.333333333,14.11111111,,,,,,,,,,5.444444444,0.735953571,22
3.888888889,1,5.666666667,4.888888889,12.88888889,20.55555556,,,,,,,,,,8.148148149,0.911058917,23
1.555555556,6.333333333,5.333333333,3.222222222,16.55555556,9.666666667,,,,,,,,,,7.111111112,0.851937465,24
12.11111111,6.777777778,4.777777778,7,17.11111111,12.77777778,,,,,,,,,,10.09259259,1.004002742,25
13.44444444,7.333333333,2.777777778,3.111111111,0.777777778,9.666666667,,,,,,,,,,6.185185185,0.791352707,26
5.666666667,0.333333333,18.11111111,4.222222222,2.888888889,11.44444444,,,,,,,,,,7.11111111,0.851937464,27
3.222222222,6.111111111,0.777777778,0.777777778,3,3.111111111,,,,,,,,,,2.833333333,0.452297671,28
12.88888889,15.77777778,3.777777778,15.88888889,18.77777778,6.444444444,,,,,,,,,,12.25925926,1.08846423,29
16.11111111,7.333333333,5.111111111,2.555555556,8.888888889,6.333333333,,,,,,,,,,7.722222222,0.887742295,30
0.666666667,4,12.44444444,16.44444444,3.444444444,37.55555556,,,,,,,,,,12.42592593,1.09432876,31
2.666666667,9.444444444,7.888888889,5.777777778,4.444444444,4.666666667,,,,,,,,,,5.814814815,0.764535888,32
3.222222222,3.555555556,6.111111111,3.111111111,22.33333333,3,,,,,,,,,,6.888888888,0.83814918,33
10.44444444,14,1.222222222,6.111111111,2.222222222,13.33333333,,,,,,,,,,7.888888888,0.897015839,34
8.666666667,4.888888889,2.777777778,5.111111111,10.88888889,3.222222222,,,,,,,,,,5.925925926,0.772756219,35
1.666666667,3.222222222,3.222222222,1.555555556,4.444444444,3.777777778,,,,,,,,,,2.981481482,0.474432116,36
11.66666667,2.444444444,20.22222222,9.666666667,6.555555556,8.111111111,,,,,,,,,,9.777777778,0.990240163,37
8.777777778,3.666666667,13.22222222,1.444444444,4.888888889,12,,,,,,,,,,7.333333333,0.865301426,38
2,17,3,2.777777778,10.77777778,4,,,,,,,,,,6.592592593,0.819056238,39
2,9,10.11111111,9.444444444,13.22222222,0.555555556,,,,,,,,,,7.388888888,0.868579136,40
16.44444444,9.444444444,0.444444444,5.111111111,6.666666667,4.444444444,,,,,,,,,,7.092592592,0.850805014,41
13.88888889,9.777777778,2,6.444444444,5.888888889,3.444444444,,,,,,,,,,6.907407408,0.839315072,42
0.888888889,27.44444444,8.777777778,0.666666667,8.222222222,8.666666667,,,,,,,,,,9.111111111,0.959571343,43
16.33333333,7.222222222,10.11111111,2.222222222,7.555555556,2.444444444,,,,,,,,,,7.648148147,0.883556292,44
17.77777778,5.888888889,0.111111111,15.55555556,4.777777778,9,,,,,,,,,,8.851851853,0.947034137,45
0.666666667,11.11111111,7.888888889,21.33333333,0.444444444,10.88888889,,,,,,,,,,8.722222222,0.940627147,46
6.555555556,2.222222222,3.777777778,10.11111111,7.222222222,5.333333333,,,,,,,,,,5.87037037,0.768665502,47
21.11111111,10.33333333,7.666666667,5,11.44444444,7.888888889,,,,,,,,,,10.57407407,1.024242348,48
6.222222222,6,7.888888889,6,23,10.88888889,,,,,,,,,,10,1,49
5.222222222,11.66666667,6.111111111,13.33333333,14.55555556,9.222222222,,,,,,,,,,10.01851852,1.000803505,50
1.555555556,22.22222222,1.444444444,7,18,5.222222222,,,,,,,,,,9.24074074,0.965706786,51
0.333333333,6.111111111,12.88888889,1.555555556,3.888888889,11.44444444,,,,,,,,,,6.037037037,0.78082384,52
1.111111111,13.55555556,14.33333333,2.222222222,7.555555556,14.88888889,,,,,,,,,,8.944444445,0.951553371,53
1.888888889,10.11111111,0.333333333,3.444444444,17.22222222,3.888888889,,,,,,,,,,6.148148148,0.788744324,54
3,1.222222222,0.888888889,7.333333333,9.888888889,8.111111111,,,,,,,,,,5.074074074,0.705356803,55
6.555555556,6.222222222,17,9.111111111,15.66666667,19.44444444,,,,,,,,,,12.33333333,1.091080469,56
6.222222222,8.444444444,11.88888889,5.222222222,9.555555556,11.55555556,,,,,,,,,,8.814814816,0.945213193,57
2.666666667,1.444444444,50.44444444,12.44444444,17.44444444,14.66666667,,,,,,,,,,16.51851852,1.217971095,58
11.77777778,10,4,5.777777778,4.666666667,20.55555556,,,,,,,,,,9.462962964,0.97602714,59
2.333333333,7.333333333,8.555555556,1.111111111,0,10.33333333,,,,,,,,,,4.944444444,0.694117501,60
6.444444444,2.777777778,32.66666667,31.11111111,7.222222222,6.666666667,,,,,,,,,,14.48148148,1.160812993,61
8.111111111,6.222222222,2,1.111111111,22,16.11111111,,,,,,,,,,9.259259259,0.966576245,62
0.888888889,6.888888889,4.111111111,14.55555556,24.55555556,4.666666667,,,,,,,,,,9.277777779,0.967443966,63
3.555555556,5.666666667,2.222222222,7.666666667,8,8,,,,,,,,,,5.851851852,0.767293323,64
10,2,4.666666667,2.444444444,23.11111111,6.777777778,,,,,,,,,,8.166666667,0.91204483,65
9.111111111,10.22222222,7.444444444,5.888888889,18.44444444,8.111111111,,,,,,,,,,9.870370369,0.994333449,66
1.777777778,13.33333333,9.222222222,6.333333333,3.666666667,3.333333333,,,,,,,,,,6.277777777,0.797805938,67
3.888888889,4.444444444,12.77777778,13.88888889,11.44444444,0.333333333,,,,,,,,,,7.796296296,0.891888336,68
14,2.777777778,2.111111111,6.777777778,22.33333333,3.222222222,,,,,,,,,,8.537037037,0.931307166,69
2,0.222222222,6.555555556,6.555555556,17.77777778,2.888888889,,,,,,,,,,6.000000001,0.77815125,70
11.44444444,2,4,14.77777778,5.444444444,8.222222222,,,,,,,,,,7.648148148,0.883556292,71
0.111111111,5.333333333,15.33333333,1.444444444,9.111111111,7.666666667,,,,,,,,,,6.499999999,0.812913357,72
80.55555556,7.444444444,13.33333333,4.111111111,0.888888889,3.444444444,,,,,,,,,,18.2962963,1.262363185,73
14.33333333,13.44444444,3.777777778,3.111111111,7.333333333,4.111111111,,,,,,,,,,7.685185184,0.885654337,74
3.111111111,7.666666667,2.444444444,3.111111111,18.66666667,13.44444444,,,,,,,,,,8.074074074,0.907092729,75
8.111111111,6.666666667,5,1.777777778,9.444444444,0.777777778,,,,,,,,,,5.296296296,0.723972273,76
0.555555556,2.777777778,5.444444444,12.44444444,10.33333333,11,,,,,,,,,,7.092592591,0.850805014,77
1,2.555555556,4.555555556,6.888888889,2.111111111,0.111111111,,,,,,,,,,2.870370371,0.457937938,78
12.77777778,8.777777778,7.444444444,0.777777778,14.33333333,9.444444444,,,,,,,,,,8.925925926,0.950653278,79
5.666666667,9.666666667,0.888888889,3.777777778,5.111111111,6.222222222,,,,,,,,,,5.222222222,0.717855349,80
6.444444444,8.666666667,20.77777778,0.555555556,5.888888889,3.666666667,,,,,,,,,,7.666666667,0.884606581,81
4.555555556,11.33333333,1,5.555555556,14,8.777777778,,,,,,,,,,7.537037037,0.877200649,82
16.11111111,8.777777778,16.77777778,5.777777778,8.444444444,0.111111111,,,,,,,,,,9.333333334,0.970036777,83
58.88888889,1.333333333,2.222222222,10.33333333,0.222222222,1.666666667,,,,,,,,,,12.44444444,1.094975513,84
8,0.222222222,8,1,14,15.44444444,,,,,,,,,,7.777777777,0.890855531,85
1.111111111,2,9.444444444,1,4,3,,,,,,,,,,3.425925926,0.534777969,86
11.66666667,7.555555556,3.777777778,2,18,12.11111111,,,,,,,,,,9.185185186,0.963087917,87
0.888888889,5,8.555555556,4.111111111,33.33333333,9.888888889,,,,,,,,,,10.2962963,1.012681032,88
1.888888889,6,6.111111111,11,2.555555556,7.777777778,,,,,,,,,,5.888888889,0.77003336,89
2.111111111,7.333333333,3.666666667,13.11111111,15.22222222,7.333333333,,,,,,,,,,8.129629629,0.91007076,90
40.11111111,14,68.88888889,2.666666667,9.666666667,14.55555556,,,,,,,,,,24.98148148,1.39761819,91
17,3.888888889,8.333333333,5.444444444,24,3,,,,,,,,,,10.27777778,1.011899223,92
3.444444444,4.222222222,3.555555556,5.444444444,16.77777778,9.222222222,,,,,,,,,,7.111111111,0.851937465,93
14.11111111,3.666666667,3.444444444,4.333333333,8.333333333,3.222222222,,,,,,,,,,6.185185185,0.791352707,94
11.55555556,2.222222222,1.444444444,6.555555556,2.666666667,20,,,,,,,,,,7.407407408,0.869666232,95
25.11111111,3.111111111,2.777777778,6.666666667,24.11111111,14.33333333,,,,,,,,,,12.68518518,1.103296812,96
2.777777778,1.555555556,2.777777778,16.44444444,20.22222222,15,,,,,,,,,,9.796296295,0.991061912,97
17.77777778,0.666666667,0.555555556,2.666666667,1.444444444,7.555555556,,,,,,,,,,5.111111112,0.708515322,98
11.33333333,1.222222222,6.444444444,0.888888889,13.22222222,24.44444444,,,,,,,,,,9.592592591,0.981936,99
3.555555556,17.55555556,1.555555556,20,20.77777778,6.555555556,,,,,,,,,,11.66666667,1.06694679,100
10.44444444,11.66666667,0.888888889,1.555555556,4.333333333,2.111111111,,,,,,,,,,5.166666667,0.713210443,101
5.777777778,9.555555556,3.444444444,9.777777778,4.222222222,3.444444444,,,,,,,,,,6.037037037,0.78082384,102
3.444444444,18.22222222,4.333333333,0.222222222,5.333333333,64.44444444,,,,,,,,,,16,1.204119983,103
13.22222222,10.88888889,8.333333333,6.444444444,7,8.666666667,,,,,,,,,,9.092592592,0.958687732,104
7.222222222,7.666666667,1.333333333,4.888888889,1.888888889,3.333333333,,,,,,,,,,4.388888889,0.642354586,105
9.888888889,8.666666667,39.44444444,1.666666667,64.44444444,0.333333333,,,,,,,,,,20.74074074,1.316824263,106
5.666666667,2.444444444,12,16.22222222,7.555555556,5.555555556,,,,,,,,,,8.240740741,0.915966251,107
4,16.55555556,1.777777778,10,2.888888889,8.111111111,,,,,,,,,,7.222222223,0.858670847,108
15,6.222222222,2.222222222,8.555555556,13.22222222,19.66666667,,,,,,,,,,10.81481482,1.034019087,109
21.77777778,4.555555556,19.33333333,11.66666667,20,7.333333333,,,,,,,,,,14.11111111,1.149561212,110
3.111111111,1,4,3.666666667,32.55555556,17.66666667,,,,,,,,,,10.33333333,1.014240439,111
6.555555556,7.555555556,6.888888889,17,3.777777778,11.88888889,,,,,,,,,,8.944444445,0.951553371,112
10.11111111,2.333333333,9.222222222,1.777777778,4.444444444,16,,,,,,,,,,7.314814815,0.864203336,113
1.888888889,4.555555556,15.22222222,7.777777778,0.333333333,8.777777778,,,,,,,,,,6.425925926,0.807935715,114
3.111111111,0.888888889,2.555555556,3.111111111,3.333333333,1.222222222,,,,,,,,,,2.37037037,0.37481621,115
8.333333333,3.777777778,0.333333333,16.66666667,6,17.55555556,,,,,,,,,,8.777777779,0.943384582,116
10.11111111,12.77777778,2.444444444,8,1,6,,,,,,,,,,6.722222222,0.827512865,117
2.888888889,3.555555556,17.77777778,0.777777778,3.666666667,15.55555556,,,,,,,,,,7.370370372,0.867489312,118
4.555555556,8.222222222,15.66666667,4.555555556,3.777777778,7.333333333,,,,,,,,,,7.351851853,0.866396747,119
1.888888889,6.555555556,10.11111111,9.666666667,12.77777778,13,,,,,,,,,,9,0.954242509,120
18.22222222,8.777777778,13.55555556,2.333333333,3.777777778,3.333333333,,,,,,,,,,8.333333334,0.920818754,121
13,30.22222222,13.88888889,0.333333333,8.333333333,21.55555556,,,,,,,,,,14.55555556,1.163028786,122
18.33333333,1.666666667,11.33333333,6.444444444,18.11111111,14.33333333,,,,,,,,,,11.7037037,1.068323318,123
18.88888889,0.777777778,20.55555556,7.111111111,2.555555556,0.555555556,,,,,,,,,,8.407407409,0.924662093,124
6.555555556,5.666666667,8.555555556,0.111111111,1,3.777777778,,,,,,,,,,4.277777778,0.63121822,125
1.666666667,1.888888889,4.444444444,7.666666667,12.11111111,9.222222222,,,,,,,,,,6.166666667,0.790050474,126
2.888888889,19,13,4.111111111,11.22222222,2,,,,,,,,,,8.703703703,0.939704098,127
2.777777778,8.555555556,1.666666667,63.33333333,1.333333333,11.33333333,,,,,,,,,,14.83333333,1.171238756,128
6.333333333,11.22222222,2,12.11111111,4.666666667,4.444444444,,,,,,,,,,6.796296296,0.832272304,129
10.77777778,20.55555556,39,11.11111111,0.222222222,8.222222222,,,,,,,,,,14.98148148,1.175554762,130
0.222222222,15.66666667,7.333333333,15.11111111,17.22222222,5.444444444,,,,,,,,,,10.16666667,1.007178585,131
0.777777778,2.333333333,10.33333333,8.888888889,11.33333333,4.444444444,,,,,,,,,,6.351851851,0.80290036,132
0.222222222,7.222222222,9.222222222,3.666666667,20,4.888888889,,,,,,,,,,7.537037037,0.877200649,133
3.222222222,5,11.22222222,15.55555556,1,4.888888889,,,,,,,,,,6.814814815,0.833454059,134
6.666666667,10.88888889,2.333333333,5.666666667,16.88888889,11.55555556,,,,,,,,,,9.000000001,0.954242509,135
14.44444444,7.222222222,11.66666667,2,0.555555556,1.666666667,,,,,,,,,,6.259259259,0.79652294,136
0.444444444,27.22222222,4.777777778,2.666666667,17,9.333333333,,,,,,,,,,10.24074074,1.010331371,137
29,8.222222222,16.55555556,14,20.55555556,3,,,,,,,,,,15.22222222,1.182478058,138
3.333333333,5.444444444,0.555555556,10.22222222,3.555555556,0.555555556,,,,,,,,,,3.944444444,0.595985844,139
7.777777778,5.111111111,5.333333333,8.333333333,12.22222222,7.444444444,,,,,,,,,,7.703703703,0.886699571,140
11.22222222,20,2.888888889,10,8.111111111,3.888888889,,,,,,,,,,9.351851852,0.970897618,141
29.77777778,5.444444444,9.777777778,1.666666667,9.222222222,0.888888889,,,,,,,,,,9.462962963,0.97602714,142
2.888888889,2.222222222,20.55555556,20.44444444,1.111111111,4.777777778,,,,,,,,,,8.666666667,0.937852093,143
10.22222222,11.11111111,3,9.333333333,6.777777778,5.333333333,,,,,,,,,,7.629629629,0.882503456,144
23.66666667,1.555555556,13.44444444,12.44444444,5.555555556,12.44444444,,,,,,,,,,11.51851852,1.061396625,145
13.77777778,16.44444444,14.66666667,8.222222222,1.777777778,7.444444444,,,,,,,,,,10.38888889,1.016569101,146
22.22222222,7.777777778,10,9.888888889,26,5.444444444,,,,,,,,,,13.55555556,1.132117321,147
3.333333333,5.888888889,7.555555556,12.44444444,1.111111111,9.444444444,,,,,,,,,,6.629629629,0.821489267,148
19,3.444444444,14.11111111,5.666666667,4.777777778,12.55555556,,,,,,,,,,9.925925927,0.99677103,149
9.777777778,20,23,10.77777778,21.11111111,15.88888889,,,,,,,,,,16.75925926,1.224254819,150
