"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17","lp.18","lp.19"
"69",,1.34,0.013592233,0.039097744,0.183333333,0.72,,,0.472,,0.1,,0.17443609,0.123308271,0.276744186,0.145,0.065116279,1.090322581,0.034328358,0.161818182
"70",,2.234375,0.297142857,0.214893617,0.169230769,0.128,,,0.042105263,,0.049438202,,0.07804878,0.131428571,0.06,0.080851064,0.091588785,0.119327731,0.310638298,0.071428571
"71",,0.354716981,0.203053435,0.103225806,0.187804878,0.584615385,,,0.208,,0.018867925,,0.307692308,0.355,0.040366972,0.063636364,0.035,0.488,0.116,0.01
"72",,0.677966102,0.204210526,1.035384615,0.113636364,0.15625,,,0.503448276,,0.4,,0.283333333,0.44,0.041935484,0.24137931,0.217391304,0.169230769,0.608695652,0.069662921
"73",,0.555555556,0.037209302,0.675,0.051162791,0.135433071,,,0.133834586,,0.298734177,,0.076106195,0.325,0.093457944,0.141284404,0.183193277,0.189189189,0.262650602,0.125
"74",,1.984375,0.142056075,0.625,0.076923077,0.012389381,,,0.52244898,,0.373913043,,0.110638298,0.266666667,0.62739726,0.047058824,0.019402985,0.089156627,0.044274809,0.4375
"75",,1,0.0015625,0.363076923,0.082,0.206382979,,,0.668421053,,0.256198347,,0.063013699,0.751351351,0.388679245,0.033663366,0.111688312,0.408695652,0.2,0.434375
"76",,0.741304348,,,0.2656,0.333333333,,,0.221621622,,1.230088495,,1,0.432876712,0.142857143,,0.219354839,0.097560976,0.185714286,0.155752212
"77",,0.8,,,0.125,0.454545455,,,0.055737705,,0.044897959,,0.463157895,0.089655172,0.28,,0.183505155,0.07394958,0.66440678,0.066666667
"78",,0.917241379,,,0.121311475,0.008474576,,,0.18,,0.14,,0.52,0.40625,0.202061856,,0.193478261,0.043697479,0.473846154,0.156962025
"79",,0.569230769,,,0.123478261,0.066666667,,,0.688,,0.12,,0.386666667,1.925,0.015625,,0.422641509,0.457534247,0.28,0.13258427
"80",,0.146153846,,,0.617021277,0.485714286,,,0.309090909,,0.482352941,,0.372727273,0.28,0.031067961,,0.1,0.109090909,0.589473684,0.4
"81",,0.191836735,,,0.161832061,0.1,,,0.193103448,,0.118446602,,0.04,0.257534246,0.129032258,,0.193103448,0.024615385,0.37,0.172413793
"82",,0.044897959,,,0.003053435,0.350819672,,,0.045783133,,0.138297872,,0.046268657,0.04,1.442857143,,0.023157895,0.294382023,0.04,0.076635514
"83",,0.303225806,,,0.388571429,0.1088,,,0.330973451,,0.578723404,,1,0.329545455,0.228037383,,0.434883721,0.151724138,0.17443609,0.033043478
"84",,1,,,0.063636364,0.1,,,0.252173913,,0.370769231,,0.2,0.233043478,0.195744681,,0.025,0.148648649,0.318918919,0.35
"85",,0.018181818,,,0.021621622,0.529230769,,,0.145762712,,0.027027027,,1,0.452173913,0.359183674,,0.134615385,0.359183674,0.042105263,0.0575
"86",,0.768965517,,,0.084931507,0.214285714,,,0.321311475,,0.595,,0.058823529,0.086153846,0.284337349,,0.034042553,0.126717557,0.190825688,0.314606742
"87",,0.397368421,,,0.132142857,0.022033898,,,0.092682927,,0.014285714,,0.197826087,0.052631579,0.157446809,,0.136,0.603636363,0.392771084,0.46
"88",,0.465625,,,0.164285714,0.375,,,0.161165049,,0.018181818,,0.195522388,0.568,0.213043478,,0.360747664,0.596551724,0.386813187,0.059459459
"89",,0.330769231,,,0.187969925,0.408571429,,,0.1,,0.165217391,,0.133333333,0.246153846,0.134615385,,0.177570094,0.036363636,0.384615385,1.271698113
"90",,0.692307692,,,0.17,0.381395349,,,0.115,,0.161290323,,0.148387097,0.581818182,0.134453782,,0.13,0.270886076,0.01,0.1
"91",,0.066165414,,,0.45,0.44137931,,,0.124770642,,0.2546875,,2.017391304,0.142857143,0.103225806,,0.171428571,0.057142857,0.203278689,0.025316456
"92",,0.221621622,,,0.142857143,0.164285714,,,0.1,,0.090909091,,0.131818182,0.1,0.01509434,,0.086153846,0.244,0.150943396,0.383561644
"93",,0.0208,,,0.34,0.206818182,,,0.275862069,,0.135135135,,1.78,0.124324324,0.024137931,,0.0578125,0.211881188,0.173913043,0.195744681
"94",,0.155384615,,,0.096240602,0.139130435,,,0.07027027,,0.25840708,,0.144554455,0.289473684,0.16,,0.019642857,0.146774194,0.172972973,0.066666667
"95",,0.033333333,,,0.133333333,0.109774436,,,0.009302326,,0.157142857,,0.003883495,0.624390244,0.048571429,,0.05,0.033043478,0.062184874,0.022413793
"96",,1.290322581,,,0.235,0.721126761,,,0.082352941,,0.16,,0.035849057,0.214457831,0.045454545,,0.555844156,0.080851064,0.189189189,0.778947368
"97",,1.129770992,,,0.1,0.467605634,,,0.187096774,,0.12173913,,2.906382979,0.34,0.16,,0.263157895,0.145,0.440336134,0.085
"98",,0.247272727,,,0.028947368,0.029411765,,,0.167567568,,0.297674419,,0.263636364,0.525,0.05,,0.067256637,0.0325,0.715789474,0.17
"99",,0.185365854,,,0.296875,0.478947368,,,0.271910112,,0.367938931,,0.029213483,0.023157895,0.030769231,,0.108411215,0.1,0.1,0.130232558
"100",,0.014545455,,,0.492957746,0.325,,,0.113636364,,0.035849057,,0.083018868,0.053658537,0.348275862,,0.205882353,0.111764706,0.4,0.385365854
"101",,0.057142857,,,0.07107438,0.151923077,,,0.384210526,,0.304950495,,1.411009174,0.222641509,0.268852459,,0.118181818,0.08,0.040983607,0.084090909
"102",,0.262903226,,,0.151724138,0.181818182,,,0.121538462,,0.213953488,,0.867647059,0.391176471,0.195454545,,0.133962264,0.147368421,0.148648649,0.504477612
"103",,0.218867925,,,0.05,0.3104,,,0.005882353,,0.185365854,,0.313513514,0.004878049,0.2,,0.187610619,0.1390625,0.535483871,0.067272727
"104",,0.184,,,0.59245283,0.20173913,,,0.31,,0.00173913,,0.808,0.053333333,0.245945946,,0.218897638,0.752631579,0.079069767,0.063636364
"105",,0.402941176,,,0.205882353,0.010526316,,,0.058823529,,0.32173913,,0.181818182,0.255172414,0.100826446,,0.05,1.173684211,0.108108108,0.009345794
"106",,1.663157895,,,0.042201835,0.473170732,,,0.090721649,,0.110588235,,1,0.143529412,,,0.038356164,0.120454545,0.431578947,0.516853933
"107",,0.414285714,,,0.378181818,0.810526316,,,0.082352941,,0.561445783,,0.003076923,0.151923077,,,0.145454545,0.234328358,0.85,0.2375
"108",,0.125,,,0.064347826,0.175700935,,,0.054054054,,0.078571429,,1,0.1109375,,,0.030769231,0.268852459,0.197826087,0.65882353
"109",,0.262992126,,,0.209345794,0.258823529,,,0.211538462,,0.157798165,,0.56,0.125,,,0.01,0.185882353,0.048780488,0.496629214
"110",,0.2,,,0.266666667,0.4375,,,0.568,,0.016923077,,1,0.133333333,,,0.185365854,0.077165354,0.02,0.35
"111",,0.300826446,,,0.604,0.28,,,0.230769231,,0.041322314,,0.232876712,0.157142857,,,0.16,0.221428571,0.306666667,0.001612903
"112",,0.223529412,,,0.3625,0.28,,,0.55,,0.14375,,0.594936709,0.694117647,,,0.05,0.172,0.152,0.073529412
"113",,0.0578125,,,0.310638298,0.37,,,0.382857143,,0.022727273,,0.766666667,0.265306122,,,0.180357143,0.090384615,0.236956522,0.304201681
"114",,0.354716981,,,0.198019802,0.589873418,,,0.359322034,,0.421052631,,0.615384615,0.330769231,,,0.155102041,0.143925234,0.171428571,0.342307692
"115",,0.301538462,,,0.00733945,0.191304348,,,0.48,,0.202857143,,0.114285714,0.054054054,,,0.300826446,0.2,0.042553191,0.141538462
"116",,0.295652174,,,0.2,0.348275862,,,0.16,,0.072307692,,0.677272728,0.629473684,,,0.35,0.073684211,0.085483871,0.098947368
"117",,0.03943662,,,0.149450549,0.56875,,,0.742857143,,0.279338843,,0.432876712,0.621052632,,,0.707692307,0.171698113,0.018181818,0.024137931
"118",,0.310280374,,,0.124324324,0.317741935,,,0.679452055,,0.015384615,,0.228571429,0.066666667,,,0.2,0.179310345,0.07032967,0.164285714
"119",,0.255813953,,,0.136734694,0.009174312,,,0.122689076,,0.064566929,,0.117307692,1.1,,,0.032352941,0.291764706,0.107692308,0.16
"120",,0.233333333,,,0.287128713,0.345454546,,,0.257142857,,0.057142857,,0.1675,0.257894737,,,0.208791209,0.175572519,0.138235294,0.065384615
"121",,0.270689655,,,0.175,0.320754717,,,0.035051546,,0.176923077,,0.047933884,0.088059702,,,0.16,0.422580645,0.301492537,0.413043478
"122",,0.02,,,0.255172414,0.325,,,0.017391304,,0.294736842,,0.329090909,0.219354839,,,0.292857143,0.127272727,0.014893617,0.382142857
"123",,0.234883721,,,0.158064516,0.25,,,0.134883721,,0.242990654,,0.318181818,0.103225806,,,0.330769231,0.221621622,0.318918919,0.4
"124",,0.1,,,0.158878505,0.183076923,,,0.091338583,,0.332258064,,0.334782609,1.988732394,,,0.327710843,0.076923077,0.2,0.202857143
"125",,0.06779661,,,0.294594595,0.4,,,0.084090909,,0.003053435,,0.125,0.0368,,,0.128813559,0.177777778,0.034482759,0.004651163
"126",,0.147368421,,,0.165217391,0.08,,,0.016,,0.029565217,,0.1,0.219277108,,,0.16,0.28,0.161363636,0.186046512
"127",,0.291338583,,,0.252307692,0.4,,,0.001886792,,0.028571429,,0.384615385,0.707692307,,,0.098947368,1.921951219,0.32815534,0.06
"128",,0.042201835,,,0.333333333,0.953191489,,,0.351162791,,0.2,,0.17,0.576470588,,,0.305,0.022727273,0.125,0.392
"129",,0.391891892,,,0.327272727,0.15,,,0.136842105,,0.290140845,,0.015037594,0.022047244,,,0.268131868,0.005970149,0.187096774,0.058823529
"130",,0.357142857,,,0.319512195,0.053333333,,,0.267256637,,0.161643836,,0.042105263,0.1925,,,0.329411765,0.14375,0.128813559,0.431578947
"131",,0.141463415,,,0.139130435,0.118367347,,,0.044897959,,0.056451613,,0.3,0.329230769,,,0.210909091,0.26,0.154,3.071428572
"132",,0.147368421,,,0.258823529,0.357142857,,,0.4,,0.273170732,,1.404081633,0.080851064,,,0.1,0.172093023,0.157142857,0.161290323
"133",,0.346218487,,,0.044444444,2.05,,,0.01,,0.053658537,,0.26,0.14893617,,,0.348031496,1.635714286,0.1475,0.055
"134",,0.092682927,,,0.228571429,0.061538462,,,0.015384615,,0.01,,0.228571429,0.071578947,,,0.08,0.053608247,0.069811321,0.083495146
"135",,0.16557377,,,0.159016393,0.112727273,,,0.216470588,,0.14939759,,0.27628866,0.262903226,,,0.050909091,0.17,0.266666667,0.302325581
"136",,,,,0.001980198,0.302325581,,,0.230909091,,0.04375,,,0.08,,,0.169230769,0.288059701,0.071428571,0.003305785
"137",,,,,0.062295082,1.490909091,,,0.210526316,,0.087128713,,,0.38,,,0.069565217,0.263157895,0.533333333,0.089473684
"138",,,,,0.442253521,0.2,,,0.012903226,,0.102040816,,,0.2375,,,0.231707317,0.943307087,0.203539823,0.074626866
"139",,,,,0.389285714,0.297560976,,,0.341935484,,0.1,,,0.114516129,,,0.089156627,0.460377359,0.203846154,0.092035398
"140",,,,,0.23255814,0.393877551,,,0.085,,0.04,,,0.062295082,,,0.047058824,0.258823529,0.209756098,0.13
"141",,,,,0.288888889,0.061971831,,,0.063636364,,0.023404255,,,0.329545455,,,0.44,1.986363637,0.023728814,0.221621622
"142",,,,,0.258823529,0.589361702,,,0.111111111,,0.049438202,,,0.205194805,,,0.072164948,0.319327731,0.149230769,0.294382023
"143",,,,,0.1,0.191011236,,,0.432876712,,0.021052632,,,0.107964602,,,0.079069767,0.0928,0.089156627,0.061538462
"144",,,,,0.155102041,1,,,0.27027027,,0.015384615,,,0.141071429,,,0.166315789,0.164705882,0.504918033,0.003846154
"145",,,,,0.126865672,0.040963855,,,0.244,,0.161016949,,,0.141463415,,,0.085950413,0.339534884,0.1109375,0.263636364
"146",,,,,0.016129032,0.023728814,,,0.409375,,0.301176471,,,0.193103448,,,0.35,0.317894737,0.26779661,0.273170732
"147",,,,,0.051612903,0.436144578,,,0.146774194,,0.025,,,0.129032258,,,0.014545455,0.044,0.166666667,0.389285714
"148",,,,,0.444117647,0.123684211,,,0.060465116,,0.141284404,,,0.247272727,,,0.022222222,0.017391304,0.220689655,0.270588235
"149",,,,,0.17826087,0.248,,,0.055,,0.042857143,,,0.125,,,0.14893617,0.001980198,0.111304348,0.460869565
"150",,,,,0.524528302,0.256198347,,,0.309774436,,0.002409639,,,0.361818182,,,0.071875,0.063636364,0.009345794,0.066037736
"151",,,,,0.181818182,0.16,,,0.240625,,,,,,,,0.271428571,1.365625,0.011235955,0.496774194
"152",,,,,0.11627907,0.1,,,0.013333333,,,,,,,,0.018867925,0.089411765,0.028571429,0.153846154
"153",,,,,0.314925373,0.55,,,0.154216867,,,,,,,,0.086956522,1.009302325,0.009756098,0.2
"154",,,,,0.385882353,0.275609756,,,0.290384615,,,,,,,,0.01,0.178181818,0.028571429,0.276363636
"155",,,,,0.040983607,0.025,,,0.0546875,,,,,,,,0.163157895,0.531914894,0.143902439,0.359183674
"156",,,,,0.140909091,0.047933884,,,0.161290323,,,,,,,,0.063636364,0.53,0.15,0.223157895
"157",,,,,0.155102041,0.4,,,0.428846154,,,,,,,,0.075229358,0.64117647,0.138461538,0.294117647
"158",,,,,0.1,0.256880734,,,0.274626866,,,,,,,,0.068965517,0.405357143,0.090909091,0.107692308
"159",,,,,0.43,0.315217391,,,0.2,,,,,,,,0.003846154,0.187096774,0.3109375,0.371428571
"160",,,,,0.155752212,0.032258065,,,0.505882353,,,,,,,,0.209375,0.35,0.304545455,0.227272727
"161",,,,,0.353846154,0.059701493,,,0.008163265,,,,,,,,0.193103448,0.255813953,0.013592233,2.055263158
"162",,,,,0.020253165,0.170731707,,,0.079069767,,,,,,,,0.134883721,0.481355932,0.096363636,0.544303797
"163",,,,,0.08,0.139130435,,,0.143548387,,,,,,,,0.08,0.1,0.330578512,0.024615385
"164",,,,,0.004545455,0.478947368,,,0.28,,,,,,,,0.375510204,0.175,0.008474576,0.001612903
"165",,,,,0.072164948,0.126732673,,,0.298701299,,,,,,,,0.021621622,0.125,0.432258064,0.135064935
"166",,,,,0.37,0.183561644,,,0.015625,,,,,,,,,0.092307692,,0.134246575
"167",,,,,0.19,0.141284404,,,0.181679389,,,,,,,,,0.64,,0.131578947
"168",,,,,0.18490566,0.169230769,,,0.291803279,,,,,,,,,0.290566038,,0.288372093
"169",,,,,0.032,0.060273973,,,0.178947368,,,,,,,,,0.118446602,,0.052830189
"170",,,,,0.246938775,0.371428571,,,0.003571429,,,,,,,,,0.084931507,,0.042857143
"171",,,,,0.25,0.108928571,,,0.050909091,,,,,,,,,0.005882353,,0.145454545
"172",,,,,0.292857143,0.037288136,,,0.023529412,,,,,,,,,0.048351648,,0.249586777
"173",,,,,0.120930233,0.185365854,,,0.083673469,,,,,,,,,0.253932584,,0.065384615
"174",,,,,0.011764706,0.055,,,0.424742268,,,,,,,,,0.24516129,,0.2
"175",,,,,0.134615385,0.154216867,,,0.210204082,,,,,,,,,0.147058824,,0.001818182
"176",,,,,0.010810811,0.05,,,0.007142857,,,,,,,,,0.020472441,,0.014285714
"177",,,,,0.1,0.2,,,0.06875,,,,,,,,,0.1,,0.14893617
"178",,,,,0.383783784,0.262650602,,,0.026666667,,,,,,,,,0.155384615,,0.692682927
"179",,,,,0.14893617,0.036363636,,,0.001503759,,,,,,,,,0.073267327,,0.065384615
"180",,,,,0.022857143,0.063265306,,,0.1,,,,,,,,,0.216901408,,0.114754098
