"","group","frequency","content","feedback","First","Last"
"accuracy_.67042","Block positive","Block","positive","with","18.866666667","9.155555556"
"accuracy_.67243","Block positive","Block","positive","with","18.1185185188667","12.5777777769333"
"accuracy_.67708","Block positive","Block","positive","with","12.4592592587333","9.01481481473333"
"accuracy_.68851","Block positive","Block","positive","with","17.1029629627333","5.39259259253333"
"accuracy_.68926","Block positive","Block","positive","with","11.0370370371333","7.140740741"
"accuracy_.69016","Block positive","Block","positive","with","10.8592592591333","12.9037037049333"
"accuracy_.69100","Block positive","Block","positive","with","13.8592592598","14.6592592589333"
"accuracy_.69139","Block positive","Block","positive","with","6.5407407402","12.525925926"
"accuracy_.69169","Block positive","Block","positive","with","11.9481481478667","9.1407407402"
"accuracy_.69241","Block positive","Block","positive","with","16.8592592599333","12.1111111106667"
"accuracy_.69247","Block positive","Block","positive","with","43.8444444446667","16.2296296290667"
"accuracy_.69637","Block positive","Block","positive","with","13.762962963","4.91111111106667"
"accuracy_.69670","Block positive","Block","positive","with","11.5481481484667","16.3037037035333"
"accuracy_.69739","Block positive","Block","positive","with","7.33333333306667","8.037037037"
"accuracy_.69745","Block positive","Block","positive","with","20.6666666668667","14.3777777772"
"accuracy_.69859","Block positive","Block","positive","with","45.7851851848667","19.5999999993333"
"accuracy_.70552","Block positive","Block","positive","with","12.3111111110667","9.6740740746"
"accuracy_.66961","Block true","Block","True","with","12.2296296291333","8.64370370373333"
"accuracy_.67072","Block true","Block","True","with","12.5629629632667","12.5111111109333"
"accuracy_.67120","Block true","Block","True","with","19.0740740726","5.9999999998"
"accuracy_.67360","Block true","Block","True","with","34.0222222222667","11.9333333331333"
"accuracy_.67378","Block true","Block","True","with","13.7925925918667","15.7185185186"
"accuracy_.67567","Block true","Block","True","with","38.3111111114","14.3851851866"
"accuracy_.67672","Block true","Block","True","with","10.4444444452","10.5851851844667"
"accuracy_.67684","Block true","Block","True","with","16.7111111119333","17.7037037034"
"accuracy_.67765","Block true","Block","True","with","15.3629629632","13.7037037038"
"accuracy_.68812","Block true","Block","True","with","18.3629629626","18.3703703693333"
"accuracy_.68818","Block true","Block","True","with","24.7259259270667","35.7777777784"
"accuracy_.68932","Block true","Block","True","with","19.8666666659333","8.92592592593333"
"accuracy_.68977","Block true","Block","True","with","11.8074074077333","9.38518518546667"
"accuracy_.69094","Block true","Block","True","with","12.3629629629333","5.5555555552"
"accuracy_.69298","Block true","Block","True","with","8.47407407413333","7.9481481478"
"accuracy_.69478","Block true","Block","True","with","13.865925926","6.7037037036"
"accuracy_.69592","Block true","Block","True","with","13.9111111108","7.61481481473333"
"accuracy_.69610","Block true","Block","True","with","15.8814814815333","5.7333333336"
"accuracy_.69622","Block true","Block","True","with","16.3333333333333","8.24444444393333"
"accuracy_.69844","Block true","Block","True","with","8.05185185213333","5.85925925913333"
"accuracy_.21486","No feedback","None","None","without","9.90370370293333","12.6592592593333"
"accuracy_.21589","No feedback","None","None","without","10.8222222222667","8.69629629666667"
"accuracy_.22223","No feedback","None","None","without","10.7555555551333","9.46666666693333"
"accuracy_.66943","No feedback","None","None","without","10.3555555554667","9.9185185186"
"accuracy_.67084","No feedback","None","None","without","7.55555555586667","7.1851851848"
"accuracy_.67246","No feedback","None","None","without","15.5407407406","14.2518518508667"
"accuracy_.67312","No feedback","None","None","without","21.0814814815333","11.2740740736667"
"accuracy_.67429","No feedback","None","None","without","10.0074074074","8.16296296286667"
"accuracy_.67501","No feedback","None","None","without","14.97037037","8.94074074033333"
"accuracy_.67561","No feedback","None","None","without","15.6888888892667","14.9185185190667"
"accuracy_.68857","No feedback","None","None","without","13.9703703704667","6.96296296306667"
"accuracy_.68929","No feedback","None","None","without","47.2814814813333","28.0000000008"
"accuracy_.68998","No feedback","None","None","without","37.133333334","7.5407407402"
"accuracy_.69190","No feedback","None","None","without","9.0962962962","7.0000000004"
"accuracy_.69214","No feedback","None","None","without","8.814814815","7.62222222246667"
"accuracy_.69364","No feedback","None","None","without","21.5555555548667","12.0666666662667"
"accuracy_.69700","No feedback","None","None","without","19.0518518511333","8.25925925966667"
"accuracy_.69757","No feedback","None","None","without","13.3629629634","7.5333333326"
"accuracy_.67045","Trial positive","Trial","positive","with","19.2592592600667","18.1703703697333"
"accuracy_.67051","Trial positive","Trial","positive","with","13.1777777777333","11.2592592588667"
"accuracy_.67174","Trial positive","Trial","positive","with","18.4592592585333","12.2518518510667"
"accuracy_.67258","Trial positive","Trial","positive","with","14.9925925923333","4.66666666673333"
"accuracy_.67507","Trial positive","Trial","positive","with","11.3925925929333","6.3333333332"
"accuracy_.67609","Trial positive","Trial","positive","with","56.5259259256","26.9925925914"
"accuracy_.67630","Trial positive","Trial","positive","with","11.0370370368","8.34814814786667"
"accuracy_.69202","Trial positive","Trial","positive","with","12.385185185","10.0962962966667"
"accuracy_.69484","Trial positive","Trial","positive","with","16.0222222231333","7.6148148152"
"accuracy_.69571","Trial positive","Trial","positive","with","5.6000000004","5.81481481526667"
"accuracy_.69661","Trial positive","Trial","positive","with","8.14814814773333","9.2296296292"
"accuracy_.69679","Trial positive","Trial","positive","with","12.8444444439333","11.1777777778"
"accuracy_.69712","Trial positive","Trial","positive","with","12.0888888888667","6.68888888806667"
"accuracy_.70516","Trial positive","Trial","positive","with","11.3703703703333","8.28888888873333"
"accuracy_.67060","Trial true","Trial","True","with","42.5259259253333","17.503703704"
"accuracy_.67276","Trial true","Trial","True","with","13.4000000003333","16.8962962969333"
"accuracy_.67417","Trial true","Trial","True","with","23.6074074075333","13.244444444"
"accuracy_.67486","Trial true","Trial","True","with","14.6585185181333","7.44444444373333"
"accuracy_.67759","Trial true","Trial","True","with","8.0222222216","5.3555555552"
"accuracy_.68965","Trial true","Trial","True","with","18.7851851847333","16.1555555559333"
"accuracy_.68995","Trial true","Trial","True","with","12.2444444446","12.4444444459333"
"accuracy_.69058","Trial true","Trial","True","with","11.4592592585333","8.85925925926667"
"accuracy_.69076","Trial true","Trial","True","with","13.1925925936","14.1481481481333"
"accuracy_.69160","Trial true","Trial","True","with","13.9925925936667","8.88888888866667"
"accuracy_.69175","Trial true","Trial","True","with","7.40000000046667","9.9185185184"
"accuracy_.69199","Trial true","Trial","True","with","10.7629629625333","6.79259259213333"
"accuracy_.69220","Trial true","Trial","True","with","11.7925925933333","16.4222222223333"
"accuracy_.69358","Trial true","Trial","True","with","13.8222222225333","6.21481481513333"
"accuracy_.69727","Trial true","Trial","True","with","18.0370370367333","12.4740740735333"
"accuracy_.69850","Trial true","Trial","True","with","12.4370370383333","26.1333333348667"
"accuracy_.69853","Trial true","Trial","True","with","10.4666666654667","18.3925925931333"
"accuracy_.69862","Trial true","Trial","True","with","12.385185186","5.9111111114"
