accuracy_ 21486,accuracy_ 21589,accuracy_ 22223,accuracy_ 66943,accuracy_ 67084,accuracy_ 67246,accuracy_ 67312,accuracy_ 67429,accuracy_ 67501,accuracy_ 67561,accuracy_ 68857,accuracy_ 68929,accuracy_ 68998,accuracy_ 69190,accuracy_ 69214,accuracy_ 69364,accuracy_ 69700,accuracy_ 69757
3.111111111,9.222222222,33.88888889,7,32.66666667,56.66666667,63.88888889,63.22222222,3.666666667,50.77777778,37,48.66666667,41.11111111,30.66666667,19.66666667,25.22222222,22.77777778,69.77777778
8.222222222,5.777777778,22.11111111,6.333333333,8.666666667,4.222222222,70,4,0.444444444,45.33333333,1.666666667,49.44444444,42,15.88888889,1.111111111,33.33333333,43.88888889,11.55555556
13.33333333,22.55555556,3.888888889,1,0.888888889,4,59.55555556,4.888888889,19.33333333,5.444444444,33.88888889,61.11111111,57.22222222,3.444444444,12.55555556,54,25.11111111,12.88888889
7.333333333,8.333333333,5.222222222,0.777777778,0.666666667,20.44444444,25.22222222,4.777777778,40.11111111,8,13.22222222,48.88888889,41.66666667,1.222222222,15.77777778,42.33333333,12.33333333,20.22222222
18.44444444,3.333333333,1.666666667,18.22222222,2.333333333,6.666666667,5.555555556,3.666666667,19.66666667,1.777777778,14.55555556,68.33333333,72.77777778,2.444444444,7,47.55555556,34.55555556,4.888888889
15.22222222,7.888888889,9.222222222,10.33333333,0.666666667,9.666666667,21.66666667,8.555555556,13.55555556,7.222222222,16.66666667,38.88888889,20.55555556,8.222222222,4.444444444,19.55555556,22.55555556,12.77777778
8.777777778,3.888888889,2,1.222222222,6.666666667,22.33333333,2.777777778,2.111111111,8.333333333,7.555555556,16.88888889,41.11111111,48.33333333,8.444444444,1.555555556,15.22222222,20.44444444,10.11111111
1.888888889,0.333333333,5.777777778,24,13,10,7.111111111,5.222222222,33.22222222,16.77777778,4.333333333,45.55555556,71.11111111,1,13.44444444,7.666666667,0.444444444,4.111111111
13.88888889,6.666666667,13.44444444,30.33333333,4.111111111,15,1.888888889,8.666666667,6,13.66666667,11.11111111,45,60.55555556,0.555555556,2.555555556,20,22.33333333,1.111111111
0.222222222,9.444444444,21.11111111,8.111111111,1.555555556,21.77777778,10.44444444,4.444444444,9.555555556,15.11111111,0.777777778,29.44444444,7.555555556,6.777777778,9,1.888888889,16.44444444,7.777777778
9.777777778,6.888888889,2.777777778,8.777777778,7.444444444,5.888888889,15.88888889,19.88888889,24.22222222,3.777777778,9.666666667,51.66666667,3.333333333,22.66666667,25.22222222,1.777777778,0.555555556,10.88888889
6.888888889,0.555555556,12.77777778,4,9.888888889,23,9.111111111,4,8.666666667,8.111111111,8.222222222,37.22222222,8.111111111,10.44444444,8.111111111,3.888888889,4.666666667,3.222222222
17,57,5.444444444,10.55555556,8.777777778,0.444444444,14.33333333,6.555555556,6.111111111,19.77777778,10.11111111,51.66666667,58.55555556,2.222222222,4.333333333,18.11111111,17.44444444,8
6.222222222,9.111111111,13.33333333,14.66666667,10,10.66666667,5.666666667,8.222222222,22.44444444,10.11111111,20.33333333,29.44444444,10.22222222,14.33333333,3.111111111,17.44444444,27.22222222,10.11111111
18.22222222,11.33333333,8.666666667,10,6,22.33333333,3.111111111,1.888888889,9.222222222,21.88888889,11.11111111,62.77777778,13.88888889,8.111111111,4.333333333,15.33333333,15,13
5.777777778,13.22222222,1.555555556,26.33333333,1.111111111,10.44444444,31.11111111,18.77777778,4.222222222,26,16.11111111,31.66666667,2.333333333,0.555555556,18.33333333,26.55555556,7.555555556,11.77777778
11,13.22222222,5.666666667,8,0.666666667,15.88888889,1.555555556,6,5.666666667,10.77777778,13.88888889,0.222222222,13.44444444,3.555555556,1.555555556,0.777777778,12.22222222,15.33333333
75.88888889,16.22222222,23.44444444,6.777777778,6.222222222,33.66666667,5.333333333,2.444444444,2,2.111111111,16.66666667,40.44444444,85.22222222,9.444444444,8.555555556,16.88888889,6.555555556,8.444444444
13.33333333,6.333333333,2,5.222222222,3.222222222,40.22222222,6,2.777777778,14.33333333,15.22222222,3,6.777777778,50.66666667,6.444444444,2.888888889,8.111111111,7.666666667,10.88888889
2.444444444,15.11111111,4,7.222222222,1.888888889,26,1.888888889,1.555555556,2.222222222,21.11111111,13.11111111,5.555555556,5.888888889,5.777777778,15.33333333,9.222222222,5.777777778,2.444444444
1.222222222,6.666666667,18.55555556,7.444444444,0.444444444,15.88888889,17,12.77777778,12.33333333,6.888888889,12,1.555555556,11.88888889,18.66666667,7.777777778,5.222222222,11.66666667,11.11111111
3.888888889,22.66666667,6.888888889,2.555555556,11.22222222,1.666666667,17,8.222222222,6.111111111,20.22222222,20.44444444,12.22222222,25.55555556,7.888888889,18.22222222,4.222222222,15.44444444,11.55555556
16.88888889,6.333333333,5.333333333,0.777777778,2.222222222,11.44444444,16.44444444,22.55555556,8.666666667,7.555555556,13.88888889,16.55555556,4.888888889,8,2.666666667,11.22222222,14.66666667,6.444444444
3,14.33333333,2.666666667,3,12.66666667,7.888888889,8.222222222,1.666666667,11.11111111,9.777777778,11,12.55555556,6.111111111,2.444444444,1,15.77777778,4.111111111,0.333333333
9.777777778,68.22222222,3.111111111,19.66666667,16.22222222,12.88888889,5.111111111,12.22222222,19.55555556,27.55555556,5.777777778,8.222222222,21.77777778,7.222222222,6.111111111,0.333333333,13.55555556,1
11.11111111,20.11111111,7,5.888888889,2.111111111,8.555555556,15.55555556,16.33333333,4,28.88888889,13.66666667,15.22222222,13,5.555555556,3,7.333333333,5,3.777777778
4.666666667,12,1.555555556,3.444444444,2,52.44444444,13,3.333333333,22.33333333,14,5.888888889,13.77777778,2.444444444,3.333333333,12,3.888888889,18.22222222,6.333333333
4.333333333,7.444444444,1,84.88888889,8.333333333,37.44444444,16,8,4.222222222,1.666666667,2.111111111,3.888888889,20.66666667,2.111111111,4.555555556,12.22222222,21.55555556,7.222222222
23.44444444,6.666666667,6.555555556,15.88888889,15.11111111,1.111111111,0.1,16.11111111,12.33333333,16.44444444,23.55555556,13.77777778,13.77777778,1.333333333,3.444444444,5.777777778,16.33333333,0.888888889
8.666666667,21.77777778,2.222222222,0.222222222,1.444444444,32.33333333,4.222222222,9.666666667,12.44444444,0.111111111,23.66666667,6.777777778,20.66666667,0.666666667,6.333333333,18.88888889,10.88888889,6.666666667
4.777777778,2.666666667,3,17.44444444,3.888888889,8.555555556,8.555555556,2.555555556,1.777777778,10,7.444444444,19.66666667,61.88888889,23,1.666666667,18,27.66666667,11.33333333
18.66666667,12.22222222,10.44444444,5.666666667,0.1,5.444444444,16,18,9.777777778,2.777777778,13.44444444,0.444444444,6.111111111,0.555555556,3.555555556,9.222222222,3,1.666666667
1.777777778,6.777777778,8.444444444,21.55555556,4.555555556,15.77777778,7.222222222,4.222222222,0.888888889,4.555555556,8.888888889,12.55555556,2.555555556,9.333333333,5,16.44444444,12,32.66666667
17.11111111,2,11,7.777777778,5.888888889,2.666666667,1,4.888888889,4.888888889,8.555555556,3.111111111,0.555555556,76.22222222,5.222222222,4.111111111,10.11111111,8.333333333,22.44444444
17.33333333,16,9.111111111,4.777777778,3.888888889,1.555555556,1.444444444,7.555555556,4.222222222,4,2.333333333,26.22222222,0.777777778,1.222222222,8,10,13.22222222,8.111111111
77,1.555555556,16.33333333,26.66666667,16.33333333,28,12.11111111,11,21.33333333,26.11111111,4.555555556,64.66666667,2.111111111,14,2.777777778,7.666666667,7.888888889,9.222222222
11.55555556,25.77777778,9,8.888888889,2.555555556,32.66666667,6.111111111,26,20,8.555555556,5.555555556,29.22222222,2.222222222,9.333333333,15.22222222,9.333333333,12.44444444,20
32.44444444,2.666666667,6.444444444,11.77777778,7.111111111,9,12.55555556,4.111111111,9.777777778,10.11111111,6.777777778,9,0.666666667,7.444444444,17.44444444,12,11,21.33333333
8.777777778,9.444444444,14,4.666666667,13.44444444,13.66666667,6.222222222,17.22222222,8.666666667,23.33333333,7.333333333,12,3.111111111,3.444444444,11.88888889,1,12.11111111,10.33333333
7.555555556,10.22222222,0.555555556,17.66666667,1.333333333,23.11111111,13.88888889,8.888888889,20.22222222,27.88888889,30,4.555555556,19.22222222,4.888888889,21.66666667,10.22222222,13.33333333,6.888888889
19.33333333,12.11111111,5.222222222,3.888888889,11.11111111,12.33333333,2,17,11.66666667,19.66666667,13.22222222,57.66666667,1.888888889,10.66666667,13.66666667,6.888888889,14.66666667,15
10.22222222,0.888888889,6.666666667,17,3.777777778,4.555555556,3,5.111111111,4.333333333,14.44444444,11,33.11111111,3.222222222,1.333333333,5.777777778,4.555555556,1.888888889,10.44444444
15.66666667,14.88888889,8.111111111,11.22222222,2.222222222,22.33333333,5.888888889,4.777777778,17.44444444,11.22222222,7.888888889,9.444444444,22.11111111,8.444444444,7,3.222222222,21.66666667,2.222222222
9.444444444,7.777777778,11.11111111,0.1,9.777777778,13.55555556,11,16.11111111,15.33333333,13.33333333,54,13.22222222,15.55555556,7,13.66666667,3.222222222,7.444444444,2.666666667
11.22222222,5.222222222,26.11111111,22,3.333333333,15.33333333,27.22222222,21.44444444,0.444444444,5.888888889,9.333333333,1.888888889,59.55555556,9.888888889,13.44444444,6.888888889,0.888888889,5
15.77777778,8.777777778,1.666666667,6.555555556,0.888888889,21.33333333,9.444444444,3.111111111,12.88888889,9,2.555555556,6,56.44444444,2.111111111,6.666666667,1.555555556,2.555555556,0.888888889
5.666666667,8.111111111,11,0.222222222,19.77777778,23.88888889,5.777777778,2,1,16,7.666666667,6.666666667,38.88888889,6.777777778,7.222222222,16.33333333,2.555555556,7
17.11111111,16.22222222,4,2.666666667,1,7.555555556,8.555555556,16.44444444,10.11111111,20,11,0.777777778,6.555555556,2.111111111,3,31.11111111,7.555555556,2.888888889
1.222222222,0.111111111,7.111111111,13.44444444,9.222222222,18.22222222,5.666666667,5.444444444,17.11111111,17.88888889,9.222222222,19,5.777777778,6.777777778,9.555555556,1.111111111,7.666666667,4.777777778
10.66666667,18.88888889,2.111111111,14,4.444444444,11.11111111,8.444444444,22.77777778,15.22222222,19.11111111,0.444444444,3.111111111,1.222222222,3.222222222,4.777777778,16.22222222,3.888888889,7.777777778
0.666666667,6.666666667,11.88888889,13.22222222,2,9.888888889,26.66666667,5.111111111,15.66666667,2.222222222,6.777777778,4.222222222,5.111111111,22.55555556,6.444444444,0.555555556,28.11111111,3.444444444
2.888888889,0.1,23.44444444,19.44444444,0.111111111,14.22222222,1.444444444,19.33333333,15.77777778,12.44444444,2.222222222,14.77777778,4.555555556,6.888888889,12.55555556,9.222222222,6.777777778,11.22222222
0.222222222,13.11111111,16.88888889,5.777777778,5.444444444,12.22222222,5.888888889,4.555555556,6.111111111,12.44444444,12.77777778,27.88888889,4.777777778,19,2.888888889,0.888888889,6,4
3.777777778,3.555555556,9,18,0.888888889,9.888888889,12.88888889,14.88888889,0.555555556,19.11111111,1,33,11.55555556,2.666666667,17.55555556,10.11111111,5.888888889,5.777777778
6.777777778,5.777777778,6.666666667,5.555555556,2.777777778,5.333333333,0.888888889,5.333333333,4.555555556,2.888888889,6.777777778,19.11111111,4.888888889,9.777777778,3,60.44444444,5.111111111,2.555555556
1.222222222,0.222222222,13.33333333,6.444444444,10,5,8.666666667,6.111111111,12.66666667,0.222222222,11.88888889,4.111111111,27.22222222,10.22222222,10.11111111,25,11.44444444,0.444444444
3.111111111,14,5.777777778,15.44444444,2.222222222,29.11111111,2.888888889,6.222222222,29.33333333,3.111111111,1.777777778,10.33333333,0.888888889,2.333333333,13.22222222,6.888888889,11.11111111,8.444444444
0.666666667,11.66666667,8.111111111,16.22222222,15.11111111,14.44444444,17.88888889,12.33333333,5.444444444,18.88888889,2.222222222,4.111111111,3,6.666666667,1.111111111,3.666666667,17.44444444,12.44444444
20,18,17.77777778,61.66666667,1.666666667,1.333333333,4.888888889,11.88888889,15.55555556,15.55555556,13.88888889,6.666666667,8.888888889,5.777777778,0.888888889,42.22222222,41.11111111,25.88888889
24,17,12.44444444,27.33333333,6.444444444,6.888888889,6.888888889,15.33333333,14.22222222,4.444444444,11.11111111,8.555555556,7.222222222,4.222222222,9.555555556,12.33333333,34.11111111,39.22222222
3.888888889,9,6.666666667,5.555555556,5.333333333,74.22222222,26.66666667,16.22222222,60.66666667,2,12,16.11111111,31.88888889,70.66666667,7.333333333,73.88888889,30.33333333,47.11111111
4.777777778,8.111111111,7.888888889,0.111111111,8.111111111,15,5,0.444444444,7.777777778,10.88888889,0.888888889,7.555555556,2.333333333,13.55555556,12.66666667,49.55555556,34.44444444,10.22222222
4.111111111,6.222222222,5.444444444,2.888888889,2.555555556,20.22222222,5.666666667,14.88888889,6,23,3,27.66666667,3.222222222,9.111111111,5.444444444,10,17.11111111,15.66666667
20.11111111,0.222222222,10.33333333,15.88888889,12,20.77777778,8.333333333,16.33333333,2.444444444,14,1.666666667,5.444444444,6.111111111,6.333333333,6.555555556,3,28.66666667,0.111111111
1.666666667,3,8.555555556,16.55555556,6.333333333,53,17.55555556,19,22.88888889,27.88888889,7.111111111,12.44444444,0.555555556,62.33333333,13.22222222,6.666666667,20,9.666666667
3.777777778,26.33333333,11.44444444,1.222222222,3.444444444,21.88888889,0.333333333,6,6.666666667,2.777777778,12.55555556,2.888888889,8.555555556,0.888888889,14.44444444,15,6,2
5.666666667,0.1,2,4.666666667,8.333333333,2.777777778,1,9.888888889,0.888888889,5,14.55555556,6,5.444444444,5.777777778,2.555555556,14.11111111,10,10.88888889
5,18.11111111,30.88888889,0.888888889,14.22222222,6.444444444,3.666666667,4,32.55555556,12.55555556,7.888888889,2,16.11111111,6.888888889,8.222222222,1.888888889,7.222222222,2
9.444444444,4.111111111,27.33333333,17.11111111,10.33333333,10.11111111,3.111111111,18,2.777777778,3,1.888888889,4,2.444444444,4.333333333,2.666666667,9.555555556,3.777777778,11.22222222
7.222222222,10.11111111,3.111111111,9,2.777777778,3.111111111,9.222222222,12,31.77777778,12.44444444,0.888888889,1.666666667,21.77777778,6.444444444,15.22222222,4,10.66666667,13.77777778
4.111111111,17.44444444,25.66666667,4.222222222,26,14.11111111,11,0.555555556,8,7.555555556,9.777777778,2.666666667,2.777777778,2.777777778,6.444444444,10.22222222,3.888888889,0.777777778
9.333333333,13.55555556,5.666666667,1.777777778,9.444444444,10.55555556,0.444444444,8.777777778,15.11111111,10.66666667,12.77777778,0.222222222,5.333333333,4.111111111,2,3,0.777777778,3.333333333
4.888888889,0.666666667,6.444444444,0.888888889,12,3.777777778,11.55555556,1.555555556,6.444444444,4.888888889,2.555555556,4,17.22222222,5.666666667,0.888888889,4.222222222,17.33333333,0.222222222
2.777777778,11.55555556,3.666666667,16.55555556,8.888888889,29.11111111,2.555555556,38.55555556,11.44444444,6.444444444,2.333333333,10.77777778,3,43.55555556,1.777777778,14.44444444,9.444444444,0.222222222
7.666666667,6.888888889,13,13.88888889,10,5.222222222,9.444444444,18.22222222,4,10.33333333,1.111111111,8.666666667,3.777777778,12.33333333,7.333333333,8.444444444,12.44444444,4.222222222
2.222222222,7.444444444,5.333333333,16.22222222,8.333333333,5.444444444,27.88888889,6.777777778,9.444444444,21.88888889,9.555555556,1.111111111,0.111111111,2.444444444,2.555555556,3.111111111,11.55555556,12.55555556
58.55555556,6.333333333,7.333333333,1.444444444,3.444444444,2.222222222,18,7.444444444,2.777777778,2.444444444,7.444444444,7.777777778,8,2.555555556,1.444444444,1.222222222,3.333333333,19.66666667
6.666666667,18.11111111,4.555555556,1,8.111111111,5.111111111,19.11111111,3.333333333,9.777777778,9.555555556,12.55555556,14.44444444,2.888888889,8.333333333,4.222222222,12.44444444,4.333333333,22.22222222
4,13.55555556,8.111111111,9.888888889,0.222222222,23.33333333,8.444444444,13.55555556,14.66666667,19.88888889,10.88888889,15.44444444,9.333333333,8.777777778,22.88888889,0.555555556,10.66666667,2
13,1.222222222,16,59.55555556,13.11111111,12,5.333333333,14.44444444,26.33333333,18.66666667,9.333333333,6,32.11111111,11.88888889,13.66666667,5.888888889,19.11111111,16.33333333
3.222222222,11.55555556,3,24.22222222,12.33333333,2.111111111,6.111111111,9.888888889,20.11111111,1.444444444,8.777777778,2.444444444,7.333333333,7.666666667,18.22222222,15.22222222,11.77777778,3.666666667
1.777777778,0.555555556,13,17.77777778,6.666666667,3.444444444,12.11111111,19.44444444,16.22222222,10.66666667,13.88888889,33.66666667,8.555555556,0.222222222,6,2.444444444,43,18.66666667
2.444444444,29,10.88888889,11.22222222,7.111111111,53.33333333,10.11111111,17.88888889,6.222222222,0.444444444,8.222222222,10.66666667,9.666666667,9.666666667,5.777777778,11.11111111,3.333333333,23.33333333
0.555555556,0.888888889,15.22222222,17.44444444,0.666666667,7.333333333,1.333333333,7.444444444,7.333333333,10,10.55555556,79.11111111,8.222222222,8.555555556,8.333333333,0.111111111,12.22222222,11.66666667
0.111111111,11.44444444,4.666666667,76.33333333,9.222222222,1.111111111,8.777777778,17.66666667,22.77777778,3.444444444,19.55555556,55.88888889,13,5.444444444,8.888888889,9.777777778,13.77777778,7
6.333333333,3.444444444,10.66666667,17,9.777777778,10.55555556,10.77777778,11,17.11111111,1.888888889,19.22222222,19,13.55555556,10.22222222,7.444444444,4.333333333,19.33333333,0.333333333
6.444444444,11,0.333333333,1.111111111,3.777777778,18.77777778,19.66666667,13.44444444,3.777777778,20,0.222222222,74.88888889,12.44444444,8.888888889,5.666666667,17.55555556,1,16.11111111
4.222222222,4.666666667,14.77777778,9.777777778,3.333333333,27.44444444,15,3.111111111,9.111111111,11.22222222,9.444444444,4,1.555555556,10.88888889,74.44444444,28.66666667,9.555555556,12
1,4.777777778,2.222222222,13.44444444,2,7,12.33333333,8.777777778,21.77777778,9.222222222,0.555555556,10.77777778,17.66666667,6.888888889,5.888888889,17.66666667,12.88888889,13.88888889
