"","accuracy_ 67045","accuracy_ 67051","accuracy_ 67174","accuracy_ 67258","accuracy_ 67507","accuracy_ 67609","accuracy_ 67630","accuracy_ 69202","accuracy_ 69484","accuracy_ 69571","accuracy_ 69661","accuracy_ 69679","accuracy_ 69712","accuracy_ 70516"
"1",61.11111111,33.22222222,27.22222222,69.88888889,29.55555556,69.77777778,5.222222222,45.11111111,42.11111111,5.111111111,20.22222222,61.44444444,46.11111111,57.66666667
"2",12.66666667,5.777777778,69.44444444,10.66666667,18.77777778,0.333333333,9.555555556,28.66666667,36.66666667,5.222222222,1.888888889,7.666666667,31.33333333,7.111111111
"3",12.88888889,17.77777778,30.55555556,19.77777778,5.666666667,74.77777778,7.111111111,9.555555556,7.888888889,1.333333333,2.666666667,7.222222222,10.33333333,16.44444444
"4",20.88888889,3.666666667,9.777777778,10,9.111111111,88.77777778,26.44444444,0.666666667,1.111111111,0.111111111,24.22222222,20.22222222,8.888888889,24.88888889
"5",10.55555556,28.55555556,1.222222222,19.77777778,10.11111111,76.22222222,15.77777778,2.333333333,5.111111111,1.555555556,9.888888889,1.444444444,8.333333333,6.555555556
"6",26.77777778,13.44444444,1.888888889,15.11111111,2.888888889,2.111111111,18,11.22222222,1.222222222,4,13.33333333,8.666666667,17.66666667,0.222222222
"7",20.55555556,10.11111111,13.22222222,6.666666667,2.888888889,67.88888889,13.66666667,17.88888889,18,12.88888889,9.888888889,9.777777778,2.555555556,7.222222222
"8",7.888888889,1.222222222,18.77777778,10.22222222,8.222222222,18.66666667,2.555555556,3.555555556,14.77777778,11.88888889,0.111111111,20.33333333,7.888888889,9.333333333
"9",11.88888889,16.55555556,10.11111111,10.44444444,13.77777778,79.44444444,10.66666667,10.22222222,20.33333333,9,2.111111111,9.777777778,5.111111111,0.888888889
"10",20.88888889,9.888888889,19.33333333,8.333333333,1.333333333,43.22222222,7.555555556,0.666666667,17.77777778,7.555555556,11.55555556,5,12.66666667,8.333333333
"11",29.77777778,13.11111111,21.11111111,1.333333333,8.222222222,82.77777778,6.222222222,21,16.88888889,4.222222222,0.777777778,8,5.666666667,4.111111111
"12",15.22222222,3,12.88888889,17.22222222,3.111111111,88.33333333,6.222222222,10.11111111,8.444444444,2,6.111111111,1.222222222,4.666666667,4.888888889
"13",25.22222222,25.44444444,6.888888889,11.22222222,16.44444444,86.88888889,18.44444444,8.333333333,12.88888889,2.333333333,15.33333333,8.444444444,9.444444444,12
"14",12.33333333,1,26.44444444,4.888888889,23,19.33333333,11.44444444,13.11111111,13.55555556,14.55555556,2.666666667,9.666666667,7.111111111,5.333333333
"15",0.222222222,14.88888889,8,9.333333333,17.77777778,49.33333333,6.666666667,3.333333333,23.55555556,2.222222222,1.444444444,13.77777778,3.555555556,5.555555556
"16",18.11111111,7.222222222,24.77777778,7.333333333,4.333333333,34.88888889,38.55555556,9,22.44444444,5.444444444,8.333333333,10.33333333,6.777777778,9.777777778
"17",4.555555556,2.777777778,3.888888889,14,0.888888889,19.55555556,5,6.333333333,13.44444444,29.11111111,7.444444444,15.22222222,18,19
"18",14.33333333,4.666666667,5.222222222,5.444444444,3.555555556,72.77777778,14.33333333,18.77777778,3.888888889,8.888888889,10.44444444,3.333333333,18.22222222,6.666666667
"19",5.444444444,8.888888889,2.555555556,15,10.55555556,50.11111111,7.222222222,1.111111111,1,33.55555556,8,0.111111111,14.66666667,18
"20",19.88888889,0.666666667,8.333333333,2.666666667,4.888888889,82.11111111,3.555555556,24.55555556,31.55555556,12.44444444,1.777777778,10.88888889,24.33333333,7.444444444
"21",33.11111111,82.33333333,2.333333333,4.777777778,1,87,6.333333333,24.22222222,10.33333333,7,2,2.777777778,10.44444444,3.222222222
"22",17,4,12.44444444,5.111111111,11.77777778,65,19,14.55555556,8,2.444444444,1.444444444,1.888888889,0.888888889,7.444444444
"23",1.444444444,7.111111111,0.111111111,7.666666667,0.444444444,3.222222222,13,10.33333333,20.11111111,10.55555556,1,2.888888889,25.22222222,6.777777778
"24",17.77777778,11.55555556,14.22222222,5.444444444,9.666666667,54.22222222,33.88888889,27.33333333,7.666666667,0.222222222,2.444444444,10.33333333,7.111111111,7.222222222
"25",25.66666667,11.55555556,0.222222222,7,17.33333333,17.55555556,7.555555556,0.333333333,16.11111111,2.777777778,1.333333333,4.444444444,0.222222222,10.22222222
"26",18.44444444,11.44444444,12.11111111,1.444444444,2.666666667,37.11111111,9.444444444,4.777777778,38.33333333,11.11111111,21.55555556,6.666666667,1.222222222,5.444444444
"27",0,2.777777778,7.111111111,12.44444444,0.666666667,75.22222222,14.55555556,4.222222222,14.88888889,5.111111111,2.444444444,15.55555556,4.555555556,3.666666667
"28",33.11111111,24.77777778,9.111111111,2,2.222222222,65,7.777777778,12.11111111,7.444444444,6.222222222,6.111111111,14.88888889,13.66666667,14.22222222
"29",14.11111111,2.777777778,30.22222222,3.333333333,10.33333333,83.22222222,16.11111111,6.222222222,4.444444444,34.66666667,4.111111111,15,0.777777778,5.888888889
"30",20.66666667,11.77777778,17.55555556,11.44444444,4.555555556,21.33333333,3.777777778,1,15.33333333,5.888888889,5,8.222222222,1.111111111,1.444444444
"31",3.888888889,9.666666667,1.555555556,2.555555556,6.444444444,1,7,14.55555556,0.111111111,1.555555556,17.66666667,18.88888889,7.444444444,4.222222222
"32",4.555555556,4.555555556,10.22222222,2,8.111111111,67.11111111,0.333333333,5.444444444,27.11111111,0.111111111,14,12,1.555555556,5.555555556
"33",43.66666667,4.111111111,6.777777778,9.333333333,11,61,22.33333333,12.55555556,6.555555556,4.777777778,27,5.777777778,4.333333333,4.111111111
"34",24.66666667,49.22222222,13.66666667,3.222222222,2.777777778,38.55555556,3.555555556,29.55555556,0,10.55555556,9.555555556,6.888888889,7.222222222,4.777777778
"35",57.55555556,11.55555556,8.444444444,5.111111111,6.111111111,32.77777778,8,24.55555556,12.55555556,1.555555556,6.888888889,15.11111111,3.555555556,28.66666667
"36",15.44444444,2.555555556,1.222222222,10.44444444,4.666666667,8.555555556,6.111111111,4.333333333,1.444444444,5.555555556,3,19.44444444,23.22222222,8
"37",6.555555556,3.888888889,9.333333333,4.333333333,18,88.66666667,0.666666667,4.444444444,5,4.444444444,13.44444444,78.88888889,24.33333333,31.33333333
"38",5.222222222,10.77777778,12.22222222,17.22222222,0.333333333,2.666666667,12.77777778,11.44444444,23.55555556,2.777777778,6,9.666666667,80.11111111,16
"39",11.55555556,35.88888889,1.222222222,15.22222222,6,47.22222222,11.33333333,4.111111111,3.333333333,24.33333333,6.555555556,13.33333333,6.666666667,9.555555556
"40",13.66666667,9.444444444,10.44444444,5.333333333,7.444444444,1.333333333,6.555555556,13.33333333,7.888888889,0.444444444,13,3.666666667,1.333333333,4.444444444
"41",64.33333333,7.888888889,9.555555556,14.55555556,5.555555556,24.44444444,5.222222222,4,4.444444444,4.888888889,15.22222222,0.111111111,1.444444444,0.777777778
"42",3.111111111,0,19,12,21.22222222,19.33333333,8.777777778,0.444444444,24.88888889,6.111111111,7.444444444,41.55555556,4,5.444444444
"43",6.666666667,4.111111111,3.777777778,8.333333333,9.555555556,42.66666667,13.55555556,0.555555556,3.111111111,4,6,76.22222222,8,10.88888889
"44",12.77777778,1.888888889,5.111111111,6.777777778,12,3.555555556,7.555555556,17.88888889,10.44444444,4.333333333,4.111111111,21.55555556,3,20.77777778
"45",7.777777778,14.77777778,2.444444444,12.44444444,0.888888889,22.44444444,5.333333333,10.44444444,10.11111111,11.66666667,15.11111111,19.33333333,5.333333333,2
"46",24.77777778,5.222222222,11,37.66666667,0.222222222,6.888888889,85.77777778,20.44444444,12.33333333,4.666666667,14.55555556,9.222222222,6.111111111,16.22222222
"47",5.444444444,10.11111111,0.222222222,12.33333333,7.222222222,27.11111111,7.222222222,1.111111111,7.333333333,13.33333333,7.333333333,5.555555556,13.66666667,9.666666667
"48",8.111111111,14.55555556,9.111111111,4.111111111,13.66666667,14.88888889,5.777777778,22.55555556,13.11111111,5.111111111,6.666666667,5.888888889,3.888888889,5.666666667
"49",6.777777778,1.111111111,3.777777778,1.777777778,9.666666667,11.33333333,20.22222222,10.33333333,4.333333333,3.333333333,4,5,3.666666667,13.11111111
"50",12.66666667,1.333333333,1.333333333,0.555555556,3.111111111,9.222222222,3.222222222,9.444444444,8.111111111,13.77777778,6.333333333,5.666666667,0.111111111,0.666666667
"51",23,11.77777778,4.555555556,5.888888889,7.555555556,23.77777778,0.333333333,2.444444444,1.777777778,2.666666667,1.222222222,12,9,0.555555556
"52",0.222222222,3,2.222222222,12.22222222,15.77777778,5,18.88888889,20,36.77777778,4.555555556,13.22222222,0.333333333,9.333333333,7.666666667
"53",6.555555556,0.111111111,0.444444444,5,4.444444444,3.111111111,19,19.11111111,26.66666667,3.222222222,1,12.44444444,10.11111111,6
"54",34,12,8.333333333,5.888888889,12,1,5,20.44444444,15.44444444,6.888888889,8.222222222,15.44444444,0.555555556,6.111111111
"55",43.55555556,0.444444444,0.555555556,2.333333333,2.666666667,0.555555556,13.66666667,15.11111111,15.77777778,11.22222222,15.88888889,8.777777778,8.777777778,2.333333333
"56",19.44444444,10.55555556,14.66666667,8.888888889,12.33333333,12.33333333,10.44444444,14.44444444,3.666666667,8.888888889,1.777777778,8.333333333,7,0.444444444
"57",6.666666667,2.111111111,1,8.111111111,7.555555556,0.111111111,12.66666667,4.444444444,1.222222222,10.77777778,4.333333333,15.44444444,3.444444444,1.666666667
"58",48.44444444,4.666666667,15.44444444,14.44444444,5.777777778,10.55555556,2.555555556,14.66666667,6.777777778,4.777777778,1.333333333,0.555555556,14.77777778,11.44444444
"59",21.11111111,14.33333333,11.11111111,1.777777778,0.666666667,87.44444444,12.55555556,17.33333333,0.888888889,3,5.666666667,9,2.555555556,1.111111111
"60",6.555555556,6.777777778,16.44444444,10.55555556,7.444444444,4.666666667,27.33333333,4.555555556,2.444444444,3.222222222,2.777777778,5.555555556,2.666666667,6.555555556
"61",32.22222222,1,12.77777778,3.555555556,14.77777778,32.66666667,22.66666667,15.33333333,3.111111111,5.444444444,2.444444444,8.555555556,5.222222222,12.88888889
"62",5.333333333,3.444444444,2.666666667,7.222222222,5.444444444,7.111111111,4.555555556,14.55555556,0.444444444,8.888888889,11.77777778,4.444444444,4.555555556,7.111111111
"63",1.222222222,3.555555556,16,19,4.222222222,24.66666667,15.11111111,12,23.22222222,26.44444444,10.33333333,5.333333333,7,14.33333333
"64",7.666666667,2.555555556,5.111111111,3.222222222,23.77777778,12.33333333,13.55555556,9.444444444,11.88888889,3.333333333,10.55555556,5,3.333333333,15.11111111
"65",38,11.22222222,12.55555556,2.555555556,6.111111111,12.33333333,2,14.11111111,0.888888889,5.222222222,6.555555556,10.77777778,13.66666667,5.333333333
"66",19.33333333,4.555555556,19.66666667,14.88888889,1.888888889,37.11111111,5.666666667,19.88888889,4.111111111,3.888888889,0.666666667,1.888888889,12.66666667,7.444444444
"67",6.666666667,0.222222222,10,9.444444444,2,7.666666667,21.88888889,18.88888889,5.666666667,3.555555556,2.777777778,6.777777778,3.777777778,4.333333333
"68",24.44444444,15.44444444,1.444444444,2.222222222,14.11111111,9.666666667,20.22222222,3.222222222,8.777777778,1,10.33333333,8.333333333,8.333333333,4.888888889
"69",9.666666667,26.77777778,3.666666667,1.777777778,18.88888889,0.333333333,14.44444444,23.11111111,6.555555556,4.666666667,10.88888889,11.22222222,0.333333333,12.55555556
"70",1.777777778,2.888888889,11.22222222,1,15.44444444,84.55555556,10.77777778,20,7.555555556,9.444444444,0.333333333,10.33333333,11,1.777777778
"71",20.88888889,8,8.888888889,2.444444444,14.55555556,11.66666667,0.555555556,13.55555556,4,4.111111111,13.88888889,9.333333333,14.22222222,7.555555556
"72",6.888888889,18.77777778,3.111111111,1,5.333333333,15.77777778,13.55555556,32.55555556,12.44444444,6.444444444,6.444444444,11.88888889,29.11111111,13.11111111
"73",0.333333333,0.777777778,4.666666667,2.444444444,1.888888889,5.111111111,13.88888889,5.888888889,17.22222222,4.444444444,20.22222222,3.888888889,12,0.222222222
"74",17.22222222,8.444444444,5.666666667,5.777777778,17.55555556,12.11111111,2.777777778,20.11111111,16.44444444,7.333333333,26.44444444,15.88888889,0.333333333,11.22222222
"75",10,8.888888889,4.777777778,10.22222222,16.88888889,55,12.66666667,3,17.77777778,1.666666667,2.333333333,4.888888889,2.333333333,13.88888889
"76",41.77777778,80.77777778,12.66666667,39.44444444,2,11.44444444,1.888888889,9.333333333,14.11111111,1.777777778,6.111111111,9.888888889,4.888888889,0.888888889
"77",10.66666667,9.333333333,9.777777778,1.888888889,4.666666667,3.444444444,5.444444444,5.444444444,9.666666667,12.66666667,3.666666667,8.777777778,7.888888889,5.111111111
"78",8.555555556,12.55555556,35.55555556,0,8.777777778,7.444444444,4.444444444,4.888888889,8.333333333,8.222222222,1,23.66666667,2.333333333,8.666666667
"79",16.44444444,5.444444444,15.66666667,6,9.222222222,15.33333333,34.77777778,14.77777778,9.777777778,11.11111111,10,59.88888889,9,7.555555556
"80",24.33333333,3.777777778,6.777777778,11,2.444444444,5.222222222,4.666666667,16.55555556,3.444444444,15.77777778,2.555555556,17.22222222,5.111111111,2.444444444
"81",7.777777778,5.777777778,6.666666667,12.55555556,8,8.555555556,14.22222222,0.555555556,8,4.444444444,1.444444444,8.111111111,5.111111111,4.333333333
"82",9.333333333,26.55555556,11.33333333,9.555555556,10.77777778,63.22222222,10,5.333333333,16.88888889,1.666666667,7.444444444,11.44444444,17.22222222,0.111111111
"83",30.55555556,10.11111111,9.333333333,30.77777778,0.111111111,6.111111111,2.666666667,7.666666667,3.444444444,10.22222222,5.333333333,4.555555556,17.66666667,4.444444444
"84",10.66666667,5.333333333,8.222222222,0.222222222,5.555555556,74.66666667,3.888888889,5.222222222,20.88888889,2.222222222,0.222222222,0.666666667,15.77777778,3.555555556
"85",28.33333333,2.888888889,8.444444444,8.555555556,6.666666667,57.66666667,14.33333333,11.77777778,8,9.222222222,3.222222222,3.444444444,2.888888889,6.777777778
"86",8,5.222222222,7.555555556,3.666666667,2.777777778,18.55555556,13.88888889,19.11111111,9.666666667,4.777777778,1.555555556,8.111111111,8.555555556,15.33333333
"87",14.33333333,2.666666667,36.11111111,5.888888889,2.888888889,30.22222222,9,6.111111111,11.77777778,1.777777778,4.777777778,21.22222222,3.222222222,6.222222222
"88",26.66666667,22.33333333,8,5.888888889,6,38.33333333,8.888888889,13.11111111,18.55555556,2.333333333,0,1.333333333,4.111111111,10.88888889
"89",12.22222222,9.333333333,1.222222222,8.555555556,0.222222222,63.11111111,1.444444444,12.44444444,9.111111111,13.11111111,4.333333333,3.222222222,14,4.888888889
