"","distance_ 66961","distance_ 67072","distance_ 67120","distance_ 67360","distance_ 67378","distance_ 67567","distance_ 67672","distance_ 67684","distance_ 67765","distance_ 68812","distance_ 68818","distance_ 68932","distance_ 68977","distance_ 69094","distance_ 69298","distance_ 69478","distance_ 69592","distance_ 69610","distance_ 69622","distance_ 69844"
"1",-65,34.44444444,24.44444444,50.55555556,-30.55555556,-21.66666667,29.44444444,-51.11111111,-68.33333333,51.66666667,-27.77777778,21.11111111,-55.55555556,39.44444444,-34.44444444,-23.33333333,22.22222222,-51.11111111,-70,-53.33333333
"2",-49.44444444,-37.77777778,34.44444444,-53.33333333,62.22222222,31.66666667,-35.55555556,-51.66666667,-73.88888889,-60.55555556,-40,33.33333333,55,-63.88888889,67.22222222,-66.11111111,48.88888889,-41.11111111,-37.77777778,53.33333333
"3",-39.44444444,-36.11111111,27.22222222,-42.22222222,-43.88888889,-32.77777778,-49.44444444,-68.33333333,21.66666667,-73.33333333,-64.44444444,-57.77777778,40.55555556,-45,37.77777778,28.88888889,57.77777778,41.11111111,67.77777778,-25.55555556
"4",60.55555556,74.44444444,65.55555556,-53.88888889,58.33333333,42.77777778,55,-25.55555556,-23.88888889,43.88888889,64.44444444,46.11111111,67.22222222,-30.55555556,45,30.55555556,48.88888889,-36.66666667,-66.11111111,73.33333333
"5",67.22222222,-53.33333333,42.77777778,33.33333333,62.77777778,52.22222222,-28.33333333,-27.22222222,22.77777778,-48.33333333,66.11111111,-26.66666667,73.33333333,-30,-21.66666667,35,67.22222222,44.44444444,51.11111111,33.33333333
"6",50.55555556,-41.66666667,-43.88888889,-41.11111111,-29.44444444,-56.11111111,39.44444444,-70.55555556,-60,48.88888889,35,63.33333333,57.22222222,-21.11111111,-34.44444444,-47.77777778,42.22222222,66.66666667,23.88888889,-40
"7",-75,62.77777778,-32.77777778,-23.88888889,39.44444444,-43.88888889,-52.22222222,-47.22222222,-67.77777778,-65.55555556,46.11111111,68.88888889,-22.77777778,-73.88888889,-33.33333333,-72.77777778,21.66666667,-40.55555556,-55,-30.55555556
"8",43.88888889,-52.77777778,-37.22222222,72.22222222,59.44444444,-39.44444444,51.11111111,-52.77777778,44.44444444,46.66666667,-30.55555556,47.22222222,-28.33333333,28.88888889,26.11111111,-26.11111111,43.33333333,-27.22222222,-28.88888889,20.55555556
"9",74.44444444,32.22222222,-42.22222222,52.77777778,50.55555556,37.77777778,-57.77777778,65,39.44444444,50.55555556,26.11111111,28.88888889,-20,68.33333333,-22.77777778,-67.22222222,-38.33333333,-25,55,58.88888889
"10",-22.77777778,25.55555556,-68.33333333,-20,-33.33333333,-32.22222222,-55,-70.55555556,-47.22222222,55.55555556,35.55555556,-42.22222222,20.55555556,-72.77777778,-40,-50,-62.22222222,-39.44444444,-51.11111111,46.11111111
"11",50,-40,35.55555556,-57.77777778,-43.88888889,-61.11111111,73.88888889,54.44444444,-66.66666667,29.44444444,32.22222222,-69.44444444,34.44444444,20.55555556,27.22222222,-63.88888889,50.55555556,-42.77777778,-64.44444444,-43.88888889
"12",25.55555556,-37.77777778,28.88888889,39.44444444,60,34.44444444,35.55555556,68.88888889,-45.55555556,-49.44444444,-64.44444444,-52.77777778,-42.77777778,72.22222222,53.88888889,-51.11111111,-43.88888889,26.11111111,20.55555556,-33.88888889
"13",58.88888889,67.77777778,72.22222222,-36.66666667,-61.11111111,56.11111111,31.66666667,44.44444444,-54.44444444,-23.88888889,25.55555556,-60.55555556,54.44444444,-32.77777778,67.22222222,-61.11111111,65,21.66666667,47.22222222,-39.44444444
"14",-66.66666667,-57.77777778,43.33333333,-36.66666667,23.33333333,-68.88888889,67.77777778,37.22222222,22.22222222,52.22222222,-75,-30,36.11111111,-35,-41.11111111,-20.55555556,-63.88888889,42.22222222,-52.22222222,44.44444444
"15",67.22222222,-55.55555556,-25.55555556,60,50,22.22222222,70.55555556,56.66666667,-66.66666667,54.44444444,-72.22222222,-53.88888889,21.11111111,-30.55555556,-60,-55,50.55555556,-73.33333333,-71.66666667,43.88888889
"16",-67.77777778,40,41.66666667,61.66666667,72.77777778,58.88888889,67.22222222,-29.44444444,24.44444444,-59.44444444,-65,-41.11111111,-47.77777778,60.55555556,-68.33333333,-63.88888889,23.88888889,-55,-28.33333333,-45
"17",-62.22222222,27.22222222,-38.88888889,-30.55555556,-44.44444444,-61.11111111,-20.55555556,-65,27.77777778,-75,31.66666667,28.88888889,-54.44444444,-34.44444444,-38.88888889,51.11111111,65.55555556,28.88888889,26.11111111,-41.11111111
"18",46.66666667,-73.33333333,48.88888889,-21.66666667,21.66666667,70,-56.11111111,45,-45.55555556,56.11111111,-40,57.77777778,-64.44444444,-26.11111111,-20.55555556,57.77777778,66.66666667,21.11111111,-71.66666667,20.55555556
"19",49.44444444,-47.77777778,-32.22222222,75,-55.55555556,-38.88888889,-66.66666667,-60.55555556,63.88888889,51.11111111,-37.22222222,30,27.22222222,-46.66666667,-43.88888889,64.44444444,-38.88888889,-67.77777778,-24.44444444,-32.22222222
"20",-49.44444444,-28.33333333,-25.55555556,28.33333333,70,63.33333333,-51.66666667,-42.22222222,30.55555556,-22.22222222,32.77777778,-49.44444444,-37.22222222,75,28.33333333,-43.33333333,60,51.11111111,38.33333333,-33.33333333
"21",59.44444444,62.77777778,-25,22.22222222,-30.55555556,-29.44444444,27.22222222,73.33333333,-37.77777778,-40.55555556,66.66666667,-74.44444444,-40,32.77777778,66.11111111,-70.55555556,37.77777778,33.88888889,-75,60
"22",-38.33333333,-46.11111111,-40.55555556,-29.44444444,51.66666667,-61.66666667,53.88888889,-66.11111111,-69.44444444,-25,33.33333333,-32.22222222,-33.88888889,66.66666667,64.44444444,-49.44444444,-57.77777778,37.22222222,-35.55555556,40.55555556
"23",-28.88888889,-48.33333333,-21.11111111,66.66666667,61.66666667,-48.88888889,61.11111111,74.44444444,57.77777778,-36.66666667,-22.22222222,65,-28.88888889,-60.55555556,-41.11111111,56.11111111,61.66666667,-39.44444444,53.33333333,-48.33333333
"24",35.55555556,-71.66666667,53.33333333,40,22.77777778,49.44444444,73.88888889,37.77777778,27.77777778,45,-60,-67.22222222,22.77777778,73.88888889,-64.44444444,-27.22222222,-40,-54.44444444,-73.88888889,48.33333333
"25",-37.77777778,26.66666667,53.88888889,-48.88888889,-23.88888889,-43.88888889,46.11111111,-44.44444444,-63.33333333,-43.88888889,57.77777778,44.44444444,-24.44444444,46.66666667,31.66666667,60.55555556,-62.77777778,71.11111111,66.11111111,-62.77777778
"26",-48.88888889,61.66666667,71.66666667,72.77777778,-52.77777778,34.44444444,-66.66666667,-72.22222222,-50.55555556,67.77777778,62.77777778,-71.66666667,-57.22222222,69.44444444,63.88888889,-27.77777778,36.11111111,-42.77777778,56.66666667,38.88888889
"27",-72.77777778,-35,47.22222222,-58.88888889,-56.11111111,20,-52.77777778,67.77777778,-47.77777778,56.11111111,-57.77777778,-47.77777778,64.44444444,-71.11111111,23.33333333,-37.77777778,35,36.66666667,-42.22222222,73.88888889
"28",59.44444444,-36.66666667,-67.22222222,-38.88888889,-22.22222222,28.88888889,-62.77777778,-45.55555556,70.55555556,-58.88888889,27.77777778,33.33333333,-36.11111111,25,-52.77777778,24.44444444,-50.55555556,-30.55555556,-30.55555556,27.22222222
"29",-48.33333333,25.55555556,-36.11111111,20,-27.22222222,54.44444444,43.33333333,-27.77777778,-22.77777778,39.44444444,-27.77777778,41.66666667,-59.44444444,26.66666667,-60.55555556,56.66666667,-50,-41.11111111,60.55555556,60
"30",66.66666667,-73.88888889,52.22222222,35,21.11111111,65,-26.66666667,58.33333333,-68.33333333,47.77777778,63.88888889,57.22222222,25.55555556,73.88888889,28.33333333,51.11111111,23.88888889,61.66666667,-20.55555556,27.22222222
"31",46.11111111,-39.44444444,60,-25,60.55555556,-35.55555556,37.22222222,-27.22222222,-45.55555556,62.77777778,-20,63.33333333,-73.88888889,29.44444444,25.55555556,-41.11111111,-44.44444444,-50.55555556,-50,-63.33333333
"32",69.44444444,-28.33333333,-30,-37.77777778,-31.66666667,-30,-74.44444444,-46.11111111,43.88888889,-57.22222222,-30.55555556,-26.66666667,-68.33333333,68.88888889,73.88888889,41.11111111,27.77777778,38.33333333,20,55.55555556
"33",22.22222222,-51.11111111,-40,-28.88888889,-75,-56.11111111,-61.66666667,-59.44444444,22.77777778,69.44444444,-52.77777778,65.55555556,43.88888889,-33.88888889,63.33333333,-57.22222222,-25,65,-27.22222222,-61.66666667
"34",-43.88888889,35.55555556,56.66666667,-67.77777778,50,-21.66666667,-61.11111111,-33.33333333,70.55555556,55,-47.77777778,-37.77777778,-37.77777778,46.66666667,60.55555556,-41.11111111,62.22222222,40.55555556,53.88888889,-39.44444444
"35",72.22222222,44.44444444,47.77777778,70,52.77777778,-72.77777778,38.33333333,-48.33333333,-74.44444444,72.22222222,71.11111111,-51.66666667,-27.77777778,41.66666667,-52.22222222,-35.55555556,-28.33333333,21.11111111,21.66666667,-22.77777778
"36",41.11111111,-73.88888889,-73.88888889,-40.55555556,68.88888889,66.11111111,56.11111111,52.77777778,-60,-23.33333333,-49.44444444,44.44444444,45,51.11111111,40,-34.44444444,74.44444444,38.88888889,50,47.22222222
"37",-43.33333333,61.11111111,47.22222222,-36.11111111,-25.55555556,-40,-72.77777778,-43.33333333,65.55555556,38.88888889,35.55555556,-70.55555556,30.55555556,40.55555556,-59.44444444,-37.22222222,-58.33333333,-28.33333333,-68.88888889,59.44444444
"38",-41.11111111,73.33333333,-36.66666667,52.77777778,-40,-26.66666667,69.44444444,-47.77777778,54.44444444,66.11111111,-37.77777778,-68.33333333,-23.33333333,67.77777778,-36.66666667,68.88888889,-45,58.88888889,72.22222222,-75
"39",-66.66666667,-46.66666667,51.11111111,23.88888889,-28.33333333,-53.33333333,-33.33333333,71.66666667,-31.66666667,41.11111111,-47.22222222,-71.66666667,21.11111111,-60.55555556,-52.77777778,-65.55555556,-72.22222222,-67.77777778,-51.11111111,56.11111111
"40",-63.88888889,69.44444444,-57.77777778,-57.22222222,-74.44444444,36.11111111,-46.11111111,-35.55555556,58.33333333,32.77777778,-56.66666667,61.11111111,-42.77777778,39.44444444,60.55555556,-28.88888889,-71.66666667,43.88888889,72.22222222,70
"41",60,48.33333333,60.55555556,24.44444444,35.55555556,-42.22222222,63.88888889,39.44444444,58.33333333,48.88888889,33.33333333,-23.88888889,54.44444444,-41.66666667,-64.44444444,-73.88888889,60,-65,-63.33333333,-71.11111111
"42",63.33333333,-74.44444444,-65.55555556,61.11111111,61.11111111,22.22222222,67.77777778,-37.22222222,-33.33333333,23.88888889,-40.55555556,75,-73.88888889,-43.88888889,-55,21.66666667,73.33333333,-51.11111111,36.66666667,32.22222222
"43",-42.77777778,35.55555556,-40,37.77777778,50,42.77777778,-68.33333333,-25,-61.66666667,29.44444444,-27.22222222,-24.44444444,-22.22222222,53.33333333,48.88888889,-62.77777778,34.44444444,66.11111111,-36.11111111,-47.22222222
"44",30,-75,34.44444444,70,-74.44444444,-23.33333333,-48.33333333,-73.33333333,-39.44444444,42.77777778,-27.77777778,-53.33333333,55,40.55555556,60.55555556,-30.55555556,-75,50,-42.22222222,-62.77777778
"45",21.66666667,-40,71.66666667,-53.88888889,45.55555556,-35,45.55555556,42.77777778,-48.33333333,-43.88888889,60.55555556,73.33333333,-72.77777778,-51.66666667,21.11111111,54.44444444,72.22222222,24.44444444,-62.22222222,23.88888889
"46",74.44444444,56.66666667,62.22222222,-65.55555556,43.33333333,21.66666667,61.66666667,-65.55555556,22.77777778,51.11111111,-23.88888889,68.88888889,75,-63.33333333,66.11111111,63.88888889,68.33333333,44.44444444,-60,43.33333333
"47",-45,26.66666667,-28.88888889,68.33333333,43.33333333,72.22222222,-62.22222222,-40.55555556,-73.33333333,-70,-73.33333333,40.55555556,-22.77777778,20.55555556,-32.77777778,-58.88888889,20.55555556,30.55555556,25,66.66666667
"48",31.11111111,-72.77777778,54.44444444,41.66666667,-65.55555556,55.55555556,-49.44444444,-60,-21.66666667,73.88888889,47.77777778,-42.22222222,-32.22222222,-29.44444444,-20,31.66666667,37.77777778,-24.44444444,27.77777778,-31.11111111
"49",-69.44444444,43.33333333,-20,54.44444444,51.66666667,56.66666667,-48.88888889,-28.33333333,40.55555556,54.44444444,70,-21.66666667,-36.11111111,39.44444444,51.66666667,-24.44444444,60.55555556,47.77777778,24.44444444,27.22222222
"50",45.55555556,-55.55555556,67.77777778,-66.66666667,-68.33333333,37.77777778,-35.55555556,-23.88888889,65.55555556,-21.11111111,57.77777778,58.33333333,-74.44444444,-26.66666667,-68.88888889,-73.88888889,61.66666667,40,-35,27.77777778
"51",34.44444444,44.44444444,-59.44444444,-44.44444444,-67.22222222,75,-63.33333333,-38.33333333,67.22222222,-60,-63.33333333,40,40,65,21.66666667,56.11111111,-26.66666667,-47.22222222,-31.66666667,56.11111111
"52",73.88888889,-70,65,-68.88888889,42.22222222,-38.88888889,-57.77777778,-70.55555556,-47.77777778,23.33333333,-20,-51.11111111,-37.22222222,-31.11111111,-57.77777778,-33.33333333,62.77777778,31.66666667,-62.77777778,-36.66666667
"53",70.55555556,-30,-46.11111111,-40,48.33333333,24.44444444,-47.22222222,31.11111111,-27.77777778,39.44444444,-42.77777778,39.44444444,-36.11111111,37.77777778,62.22222222,-52.77777778,-72.22222222,48.33333333,36.11111111,-60.55555556
"54",-39.44444444,-20,-50.55555556,-27.22222222,-45,41.11111111,-22.22222222,-42.22222222,-51.66666667,62.22222222,-33.88888889,52.22222222,26.66666667,67.77777778,34.44444444,68.88888889,-65,-20,-28.33333333,-70.55555556
"55",73.33333333,65.55555556,-32.77777778,-34.44444444,-51.66666667,-21.66666667,-36.11111111,-26.66666667,63.33333333,72.22222222,-67.77777778,56.11111111,-62.22222222,-61.66666667,24.44444444,-22.77777778,-38.33333333,-45,48.33333333,-71.11111111
"56",42.22222222,47.77777778,51.66666667,-37.22222222,40.55555556,34.44444444,30,-50.55555556,-63.88888889,75,-32.77777778,50.55555556,-67.77777778,40.55555556,-73.88888889,-41.11111111,37.22222222,-27.77777778,68.33333333,63.88888889
"57",23.33333333,75,70,40,41.66666667,65.55555556,66.66666667,-30,48.88888889,-39.44444444,-58.88888889,-31.11111111,26.11111111,64.44444444,-56.66666667,-47.77777778,-38.88888889,-66.66666667,60.55555556,26.66666667
"58",53.33333333,-37.77777778,-46.11111111,-25,64.44444444,-66.66666667,45.55555556,47.77777778,-35.55555556,-27.77777778,-49.44444444,-55.55555556,-56.66666667,54.44444444,20,-35.55555556,46.66666667,-39.44444444,57.22222222,-66.66666667
"59",38.33333333,-44.44444444,-40.55555556,65.55555556,-52.77777778,44.44444444,43.33333333,74.44444444,62.22222222,50,-73.33333333,-66.11111111,32.77777778,55.55555556,-51.11111111,-64.44444444,-66.11111111,55.55555556,-54.44444444,-58.88888889
"60",-23.33333333,21.66666667,-26.66666667,-68.88888889,-71.11111111,-65.55555556,41.11111111,37.22222222,-21.11111111,-22.77777778,41.11111111,41.66666667,65.55555556,20.55555556,55,-65.55555556,71.11111111,40,25,57.22222222
"61",47.22222222,31.11111111,-35,46.66666667,-65,-42.77777778,-60,-31.11111111,57.22222222,-61.11111111,-21.66666667,-60,68.33333333,36.11111111,30.55555556,25.55555556,-50.55555556,70.55555556,-35,26.66666667
"62",-33.33333333,-65,-68.88888889,-39.44444444,-71.66666667,-43.33333333,-28.88888889,27.22222222,57.77777778,-60,55,58.33333333,-48.33333333,27.77777778,28.88888889,-27.22222222,-50,34.44444444,55,41.11111111
"63",43.88888889,41.11111111,-48.33333333,-47.22222222,-73.33333333,57.77777778,22.77777778,-39.44444444,22.77777778,-58.88888889,-43.88888889,-64.44444444,56.66666667,22.77777778,-40,-55,-22.77777778,42.22222222,31.66666667,41.66666667
"64",-28.88888889,-71.66666667,60.55555556,-23.88888889,68.88888889,69.44444444,-71.11111111,70,-60.55555556,33.33333333,55,-73.33333333,-68.88888889,69.44444444,67.22222222,-29.44444444,22.77777778,71.66666667,48.88888889,69.44444444
"65",23.88888889,47.22222222,31.66666667,21.66666667,-23.88888889,-48.33333333,41.66666667,54.44444444,56.66666667,42.22222222,-64.44444444,-61.66666667,-63.33333333,31.11111111,-70,60,-59.44444444,43.33333333,33.88888889,21.66666667
"66",-75,29.44444444,34.44444444,54.44444444,-26.11111111,-67.22222222,-44.44444444,50,67.22222222,-38.33333333,40,-57.77777778,-20.55555556,-20.55555556,22.22222222,-38.88888889,36.66666667,-73.33333333,40.55555556,-56.11111111
"67",26.11111111,-71.11111111,42.22222222,66.11111111,30,-33.88888889,26.66666667,66.66666667,45.55555556,48.33333333,-45,-22.22222222,55.55555556,-50,24.44444444,-56.66666667,-30.55555556,-67.77777778,-26.11111111,-60
"68",-40,35.55555556,-58.88888889,-56.11111111,-32.22222222,-73.88888889,42.77777778,45,-62.22222222,-21.11111111,23.88888889,-73.33333333,50,32.22222222,-21.66666667,27.22222222,66.11111111,32.77777778,55,41.11111111
"69",-30.55555556,74.44444444,-37.22222222,73.88888889,-38.88888889,-73.88888889,47.77777778,-57.77777778,-57.22222222,33.33333333,73.88888889,34.44444444,44.44444444,-41.66666667,60,-71.66666667,-42.77777778,61.11111111,60,-25
"70",-51.66666667,52.22222222,-41.11111111,-68.33333333,35.55555556,-58.33333333,50,73.33333333,58.33333333,-37.77777778,52.22222222,-66.11111111,52.22222222,21.11111111,36.11111111,59.44444444,35.55555556,-23.33333333,49.44444444,41.66666667
"71",-67.77777778,-55.55555556,53.88888889,36.11111111,58.88888889,66.66666667,60.55555556,38.33333333,72.77777778,22.77777778,34.44444444,-41.66666667,-36.66666667,55.55555556,-45.55555556,44.44444444,39.44444444,22.22222222,-29.44444444,-72.22222222
"72",53.88888889,-25.55555556,-26.66666667,60,-32.77777778,-25,34.44444444,42.77777778,52.77777778,23.33333333,-72.22222222,-28.88888889,64.44444444,-64.44444444,73.33333333,38.33333333,-51.66666667,49.44444444,65,53.33333333
"73",71.66666667,46.11111111,-36.66666667,-62.77777778,-45,44.44444444,-59.44444444,-58.88888889,-23.88888889,-42.77777778,-40,61.66666667,60.55555556,73.88888889,71.66666667,66.11111111,-63.33333333,-53.33333333,-43.88888889,-70.55555556
"74",-70,72.77777778,-66.66666667,26.11111111,-35.55555556,45,40.55555556,65,-59.44444444,21.11111111,-40,46.11111111,-28.33333333,-27.22222222,-43.33333333,74.44444444,-72.22222222,-26.66666667,-51.11111111,62.77777778
"75",-65.55555556,-50,75,-40.55555556,-61.11111111,-20.55555556,29.44444444,-62.77777778,-71.11111111,-56.11111111,72.22222222,25.55555556,-56.11111111,63.33333333,-55.55555556,-42.77777778,40.55555556,35.55555556,-67.22222222,52.22222222
"76",-35,-23.33333333,46.66666667,43.88888889,51.11111111,40.55555556,35,52.77777778,72.77777778,-26.11111111,-60,22.77777778,-42.22222222,41.11111111,69.44444444,-34.44444444,-66.66666667,-62.77777778,62.77777778,45
"77",48.33333333,-32.77777778,28.88888889,-63.33333333,45,48.33333333,25,-75,30,-38.88888889,28.33333333,-66.11111111,31.11111111,67.77777778,26.66666667,53.88888889,49.44444444,-45,54.44444444,-55
"78",72.22222222,-36.11111111,20.55555556,50,48.33333333,35.55555556,-53.88888889,52.77777778,-31.66666667,-43.88888889,32.77777778,66.11111111,-21.66666667,-50,33.88888889,51.11111111,23.88888889,-43.88888889,66.66666667,-65.55555556
"79",46.11111111,-27.77777778,-58.88888889,-75,65,44.44444444,71.11111111,-60.55555556,48.88888889,-57.22222222,-43.33333333,40.55555556,45,-41.66666667,-63.88888889,29.44444444,29.44444444,-49.44444444,-25,-45
"80",-59.44444444,31.66666667,-56.66666667,36.66666667,43.33333333,-63.88888889,-57.22222222,-63.88888889,-24.44444444,-60,-72.22222222,55,25.55555556,-24.44444444,26.11111111,-50,-68.33333333,-20,28.33333333,38.88888889
"81",-34.44444444,-55.55555556,-68.88888889,-75,-27.22222222,-40.55555556,34.44444444,28.33333333,-57.22222222,-49.44444444,-34.44444444,72.22222222,58.88888889,64.44444444,72.77777778,-64.44444444,72.22222222,-48.33333333,57.22222222,-24.44444444
"82",22.77777778,50,-62.22222222,74.44444444,54.44444444,-33.33333333,23.33333333,-36.11111111,33.33333333,-51.66666667,72.77777778,-49.44444444,30.55555556,46.11111111,-72.77777778,52.77777778,27.22222222,59.44444444,-52.22222222,-67.77777778
"83",51.66666667,73.88888889,-69.44444444,20,34.44444444,-48.88888889,59.44444444,53.88888889,-28.33333333,-49.44444444,35.55555556,48.33333333,52.22222222,-62.77777778,-38.88888889,47.77777778,56.11111111,63.88888889,26.11111111,-69.44444444
"84",20,-20.55555556,63.33333333,65,-68.33333333,63.88888889,52.22222222,39.44444444,-58.33333333,-30,-27.77777778,41.11111111,53.33333333,25.55555556,-61.11111111,-53.33333333,-40.55555556,26.66666667,-72.22222222,-56.66666667
"85",-26.66666667,-21.11111111,27.77777778,31.66666667,-24.44444444,25.55555556,27.22222222,-24.44444444,-67.77777778,23.88888889,40,-27.22222222,44.44444444,65.55555556,-20.55555556,28.88888889,-39.44444444,-44.44444444,20.55555556,36.11111111
"86",-51.11111111,60.55555556,-72.77777778,-37.77777778,-32.22222222,36.11111111,-46.11111111,-35.55555556,39.44444444,46.11111111,-57.77777778,72.77777778,-25.55555556,-33.88888889,40.55555556,-52.22222222,-47.77777778,49.44444444,-22.22222222,70
"87",26.66666667,-46.11111111,25.55555556,-51.11111111,-42.22222222,73.88888889,-26.11111111,38.88888889,-55.55555556,56.66666667,-21.11111111,-30.55555556,58.33333333,68.33333333,-62.22222222,27.77777778,42.22222222,-22.22222222,-23.33333333,65.55555556
"88",-38.88888889,-50.55555556,-70,-74.44444444,-71.11111111,41.66666667,-25.55555556,-24.44444444,-26.11111111,-58.33333333,-72.77777778,-32.22222222,22.77777778,57.22222222,-31.11111111,-59.44444444,27.77777778,-61.66666667,-73.33333333,40
"89",62.22222222,65,-60,-30,-43.33333333,-21.66666667,57.77777778,-62.77777778,49.44444444,-41.66666667,38.33333333,55,-66.66666667,62.22222222,-73.88888889,59.44444444,-23.33333333,-29.44444444,-38.33333333,-38.88888889
