"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"1",61.11111111,57.22222222,52.22222222,68.88888889,29.44444444,57.77777778,37.22222222,51.11111111,41.11111111,73.88888889,42.77777778,54.44444444,46.11111111,71.66666667
"2",21.66666667,57.22222222,29.44444444,58.33333333,42.22222222,63.33333333,64.44444444,61.66666667,26.66666667,47.77777778,63.88888889,36.66666667,53.33333333,33.88888889
"3",21.11111111,62.77777778,30.55555556,72.22222222,23.33333333,22.22222222,73.88888889,60.55555556,41.11111111,63.33333333,33.33333333,27.77777778,38.33333333,60.55555556
"4",38.88888889,71.66666667,22.77777778,30,58.88888889,42.77777778,34.44444444,68.33333333,26.11111111,46.11111111,37.22222222,47.22222222,68.88888889,73.88888889
"5",40.55555556,40.55555556,32.22222222,67.22222222,68.88888889,47.77777778,47.77777778,48.33333333,68.88888889,39.44444444,33.88888889,50.55555556,51.66666667,54.44444444
"6",52.77777778,49.44444444,53.88888889,33.88888889,48.88888889,56.11111111,45,37.22222222,42.22222222,55,71.66666667,36.66666667,51.66666667,62.22222222
"7",20.55555556,38.88888889,57.77777778,58.33333333,38.88888889,63.88888889,26.66666667,33.88888889,55,36.11111111,43.88888889,67.22222222,64.44444444,62.22222222
"8",63.88888889,27.22222222,42.77777778,47.77777778,27.77777778,33.33333333,25.55555556,29.44444444,32.77777778,38.88888889,28.88888889,63.33333333,28.88888889,58.33333333
"9",51.11111111,70.55555556,36.11111111,30.55555556,32.77777778,29.44444444,66.66666667,67.22222222,66.66666667,25,26.11111111,47.77777778,38.88888889,41.11111111
"10",73.88888889,36.11111111,61.66666667,33.33333333,31.66666667,37.77777778,20.55555556,61.66666667,37.77777778,25.55555556,20.55555556,25,61.66666667,41.66666667
"11",42.77777778,51.11111111,66.11111111,26.66666667,57.22222222,52.77777778,62.77777778,50,36.11111111,52.22222222,52.22222222,30,28.33333333,21.11111111
"12",37.22222222,60,38.88888889,57.77777778,61.11111111,38.33333333,72.22222222,26.11111111,74.44444444,75,41.11111111,27.22222222,23.33333333,63.88888889
"13",62.77777778,64.44444444,71.11111111,42.77777778,50.55555556,38.88888889,59.44444444,38.33333333,26.11111111,26.66666667,43.33333333,39.44444444,50.55555556,60
"14",26.66666667,60,65.55555556,53.88888889,55,66.66666667,34.44444444,21.11111111,29.44444444,64.44444444,73.33333333,51.66666667,68.88888889,53.33333333
"15",42.77777778,28.88888889,70,56.66666667,67.22222222,46.66666667,31.66666667,58.33333333,74.44444444,52.77777778,60.55555556,57.77777778,44.44444444,24.44444444
"16",61.11111111,57.22222222,37.77777778,41.66666667,23.33333333,58.88888889,64.44444444,55,59.44444444,34.44444444,33.33333333,38.33333333,72.22222222,22.77777778
"17",40.55555556,22.22222222,38.88888889,75,61.11111111,55.55555556,60,43.33333333,60.55555556,56.11111111,25.55555556,57.22222222,65,75
"18",61.66666667,71.66666667,57.22222222,55.55555556,24.44444444,27.22222222,43.33333333,27.77777778,43.88888889,33.88888889,39.44444444,53.33333333,37.22222222,61.66666667
"19",44.44444444,53.88888889,40.55555556,20,55.55555556,23.88888889,37.22222222,26.11111111,70,44.44444444,75,43.88888889,61.66666667,70
"20",73.88888889,23.33333333,26.66666667,21.66666667,61.11111111,21.11111111,59.44444444,60.55555556,29.44444444,24.44444444,42.77777778,43.88888889,48.33333333,20.55555556
"21",46.11111111,31.66666667,38.33333333,52.22222222,60,70,28.33333333,37.77777778,71.66666667,25,25,52.22222222,34.44444444,72.77777778
"22",70,20,44.44444444,63.88888889,52.22222222,60,70,45.55555556,40,44.44444444,60.55555556,56.11111111,31.11111111,34.44444444
"23",60.55555556,51.11111111,36.11111111,51.66666667,29.44444444,57.77777778,35,28.33333333,48.88888889,24.44444444,30,23.88888889,67.22222222,57.77777778
"24",47.22222222,65.55555556,67.22222222,54.44444444,58.33333333,67.22222222,21.11111111,43.33333333,51.66666667,27.22222222,20.55555556,68.33333333,31.11111111,32.77777778
"25",48.33333333,39.44444444,22.77777778,45,38.33333333,39.44444444,50.55555556,58.33333333,68.88888889,67.22222222,28.33333333,49.44444444,47.77777778,47.22222222
"26",65.55555556,44.44444444,33.88888889,54.44444444,66.66666667,38.88888889,49.44444444,27.22222222,68.33333333,71.11111111,70.55555556,26.66666667,52.22222222,55.55555556
"27",40,22.22222222,21.11111111,74.44444444,53.33333333,47.77777778,20.55555556,22.77777778,56.11111111,56.11111111,44.44444444,74.44444444,65.55555556,23.33333333
"28",43.88888889,72.22222222,71.11111111,75,62.77777778,45,67.22222222,31.11111111,34.44444444,37.22222222,46.11111111,68.88888889,51.66666667,67.22222222
"29",58.88888889,22.22222222,42.22222222,33.33333333,63.33333333,37.22222222,41.11111111,32.77777778,20.55555556,61.66666667,36.11111111,40,72.77777778,56.11111111
"30",63.33333333,57.77777778,70.55555556,45.55555556,60.55555556,53.33333333,32.77777778,75,31.66666667,73.88888889,25,67.77777778,53.88888889,29.44444444
"31",31.11111111,36.66666667,74.44444444,30.55555556,29.44444444,45,60,60.55555556,56.11111111,24.44444444,58.33333333,48.88888889,54.44444444,42.22222222
"32",24.44444444,70.55555556,32.22222222,75,36.11111111,56.11111111,48.33333333,25.55555556,23.88888889,28.88888889,20,75,70.55555556,29.44444444
"33",43.33333333,41.11111111,42.77777778,33.33333333,70,35,63.33333333,40.55555556,64.44444444,62.22222222,60,32.77777778,33.33333333,63.88888889
"34",46.66666667,72.77777778,73.33333333,62.77777778,42.77777778,39.44444444,64.44444444,64.44444444,55,60.55555556,45.55555556,33.88888889,37.22222222,42.22222222
"35",30.55555556,35.55555556,59.44444444,58.88888889,66.11111111,47.77777778,55,65.55555556,60.55555556,39.44444444,28.88888889,21.11111111,20.55555556,58.33333333
"36",40.55555556,44.44444444,22.22222222,40.55555556,53.33333333,54.44444444,61.11111111,38.33333333,39.44444444,54.44444444,40,64.44444444,72.77777778,45
"37",39.44444444,21.11111111,68.33333333,61.66666667,50,36.66666667,61.66666667,69.44444444,65,59.44444444,50.55555556,71.11111111,41.66666667,51.66666667
"38",67.22222222,47.77777778,47.77777778,42.77777778,73.33333333,28.33333333,42.77777778,29.44444444,65.55555556,62.77777778,65,63.33333333,36.11111111,40
"39",44.44444444,23.88888889,32.77777778,62.22222222,70,47.22222222,61.66666667,53.88888889,28.33333333,43.33333333,64.44444444,43.33333333,21.66666667,35.55555556
"40",66.66666667,34.44444444,25.55555556,68.33333333,44.44444444,41.66666667,20.55555556,36.66666667,31.11111111,54.44444444,40,51.66666667,33.33333333,34.44444444
"41",51.66666667,58.88888889,35.55555556,60.55555556,30.55555556,20.55555556,57.77777778,75,70.55555556,58.88888889,52.77777778,21.11111111,70.55555556,27.22222222
"42",21.11111111,25,75,40,57.22222222,66.66666667,57.77777778,30.55555556,46.11111111,53.88888889,39.44444444,44.44444444,30,29.44444444
"43",36.66666667,61.11111111,57.22222222,21.66666667,25.55555556,68.33333333,70.55555556,70.55555556,41.11111111,70,40,42.22222222,60,48.88888889
"44",72.22222222,43.88888889,56.11111111,67.22222222,65,69.44444444,59.44444444,68.88888889,40.55555556,26.66666667,71.11111111,60.55555556,30,62.77777778
"45",52.22222222,37.77777778,45.55555556,40.55555556,28.88888889,50.55555556,43.33333333,60.55555556,58.88888889,23.33333333,41.11111111,48.33333333,51.66666667,25
"46",62.22222222,62.77777778,20,41.66666667,47.22222222,43.88888889,62.77777778,39.44444444,36.66666667,51.66666667,70.55555556,62.22222222,61.11111111,67.77777778
"47",29.44444444,36.11111111,47.77777778,43.33333333,72.77777778,56.11111111,72.77777778,56.11111111,26.66666667,43.33333333,43.33333333,40.55555556,41.66666667,31.66666667
"48",21.11111111,64.44444444,66.11111111,41.11111111,46.66666667,73.88888889,57.77777778,65.55555556,21.11111111,73.88888889,36.66666667,46.11111111,23.88888889,51.66666667
"49",57.77777778,51.11111111,67.77777778,62.77777778,21.66666667,48.33333333,62.22222222,38.33333333,31.66666667,21.66666667,30,45,56.66666667,56.11111111
"50",38.33333333,51.66666667,58.33333333,30.55555556,21.11111111,52.77777778,37.22222222,39.44444444,63.88888889,52.77777778,36.66666667,63.33333333,43.88888889,33.33333333
"51",45,67.77777778,50.55555556,41.11111111,25.55555556,57.22222222,26.66666667,65.55555556,62.22222222,51.66666667,62.77777778,55,25,64.44444444
"52",62.77777778,55,62.77777778,37.22222222,37.77777778,20,63.88888889,25,37.22222222,20.55555556,67.22222222,48.33333333,66.66666667,41.66666667
"53",20.55555556,61.11111111,25.55555556,35,30.55555556,66.11111111,25,46.11111111,53.33333333,37.22222222,40,54.44444444,43.88888889,40
"54",20,50,71.66666667,43.88888889,70,35,45,29.44444444,70.55555556,26.11111111,57.77777778,44.44444444,65.55555556,36.11111111
"55",39.44444444,74.44444444,74.44444444,43.33333333,66.66666667,50.55555556,56.66666667,36.11111111,62.22222222,32.22222222,56.11111111,57.22222222,22.77777778,53.33333333
"56",70.55555556,45.55555556,56.66666667,66.11111111,56.66666667,36.66666667,69.44444444,50.55555556,66.66666667,21.11111111,52.22222222,73.33333333,65,39.44444444
"57",73.33333333,63.88888889,55,36.11111111,69.44444444,28.88888889,21.66666667,39.44444444,52.77777778,72.77777778,51.66666667,59.44444444,70.55555556,46.66666667
"58",24.44444444,38.33333333,64.44444444,60.55555556,32.77777778,34.44444444,20.55555556,26.66666667,22.22222222,42.22222222,43.33333333,60.55555556,37.22222222,24.44444444
"59",66.11111111,38.33333333,63.88888889,37.22222222,63.33333333,35.55555556,25.55555556,46.66666667,26.11111111,75,23.33333333,20,64.44444444,23.88888889
"60",45.55555556,47.77777778,65.55555556,44.44444444,34.44444444,33.33333333,73.33333333,44.44444444,45.55555556,47.77777778,27.77777778,50.55555556,21.66666667,35.55555556
"61",67.22222222,75,47.77777778,60.55555556,72.77777778,61.66666667,46.66666667,28.33333333,48.88888889,29.44444444,54.44444444,25.55555556,52.22222222,43.88888889
"62",31.66666667,39.44444444,31.66666667,67.22222222,25.55555556,56.11111111,40.55555556,20.55555556,34.44444444,53.88888889,27.22222222,54.44444444,24.44444444,66.11111111
"63",22.22222222,24.44444444,50,50,62.22222222,56.66666667,46.11111111,35,67.77777778,69.44444444,58.33333333,68.33333333,30,56.66666667
"64",21.66666667,55.55555556,56.11111111,67.77777778,67.22222222,43.33333333,70.55555556,54.44444444,71.11111111,63.33333333,35.55555556,40,58.33333333,41.11111111
"65",25,37.22222222,54.44444444,30.55555556,36.11111111,36.66666667,45,31.11111111,63.88888889,27.77777778,70.55555556,72.22222222,68.33333333,71.66666667
"66",26.66666667,55.55555556,51.66666667,61.11111111,48.88888889,38.88888889,73.33333333,68.88888889,58.88888889,61.11111111,26.66666667,28.88888889,66.66666667,69.44444444
"67",33.33333333,37.77777778,45,70.55555556,25,43.33333333,28.88888889,23.88888889,33.33333333,69.44444444,27.77777778,72.77777778,42.77777778,48.33333333
"68",24.44444444,39.44444444,35.55555556,42.77777778,56.11111111,33.33333333,32.22222222,22.22222222,67.22222222,25,43.33333333,28.33333333,26.66666667,66.11111111
"69",51.66666667,57.77777778,26.66666667,72.22222222,48.88888889,58.33333333,39.44444444,36.11111111,65.55555556,51.66666667,71.11111111,32.77777778,23.33333333,34.44444444
"70",32.77777778,68.88888889,32.22222222,35,59.44444444,39.44444444,47.22222222,35,74.44444444,64.44444444,53.33333333,58.33333333,35,27.22222222
"71",63.88888889,45,68.88888889,50.55555556,70.55555556,58.33333333,70.55555556,64.44444444,60,56.11111111,53.88888889,73.33333333,62.22222222,69.44444444
"72",33.88888889,42.22222222,71.11111111,75,21.66666667,67.22222222,50.55555556,45.55555556,64.44444444,59.44444444,65.55555556,68.88888889,73.88888889,56.11111111
"73",21.66666667,52.77777778,58.33333333,20.55555556,26.11111111,63.88888889,53.88888889,68.88888889,27.22222222,64.44444444,52.22222222,31.11111111,50,62.77777778
"74",72.77777778,69.44444444,26.66666667,42.77777778,70.55555556,36.11111111,37.22222222,63.88888889,60.55555556,21.66666667,54.44444444,63.88888889,21.66666667,72.77777778
"75",40,33.88888889,62.22222222,52.22222222,38.88888889,20,68.33333333,55,62.77777778,33.33333333,71.66666667,51.11111111,23.33333333,48.88888889
"76",27.77777778,22.77777778,48.33333333,39.44444444,35,34.44444444,71.11111111,31.66666667,23.88888889,37.22222222,31.11111111,28.88888889,36.11111111,38.88888889
"77",31.66666667,63.33333333,37.77777778,63.88888889,71.66666667,69.44444444,70.55555556,44.44444444,63.33333333,66.66666667,58.33333333,37.77777778,23.88888889,71.11111111
"78",45.55555556,45.55555556,35.55555556,40,67.77777778,70.55555556,29.44444444,33.88888889,26.66666667,47.77777778,75,71.66666667,38.33333333,36.66666667
"79",54.44444444,20.55555556,63.33333333,20,67.77777778,21.66666667,72.22222222,62.77777778,42.22222222,41.11111111,25,28.88888889,35,74.44444444
"80",31.66666667,27.22222222,32.77777778,60,64.44444444,67.22222222,66.66666667,45.55555556,49.44444444,62.77777778,50.55555556,62.77777778,23.88888889,34.44444444
"81",27.22222222,42.22222222,51.66666667,50.55555556,55,40.55555556,72.22222222,54.44444444,20,60.55555556,64.44444444,21.11111111,21.11111111,46.66666667
"82",63.33333333,70.55555556,48.33333333,55.55555556,52.77777778,42.77777778,75,63.33333333,31.11111111,36.66666667,34.44444444,44.44444444,42.22222222,33.88888889
"83",70.55555556,66.11111111,38.33333333,67.22222222,68.88888889,71.11111111,53.33333333,26.66666667,65.55555556,37.22222222,23.33333333,45.55555556,53.33333333,39.44444444
"84",51.66666667,71.66666667,72.77777778,32.22222222,44.44444444,33.33333333,23.88888889,22.22222222,61.11111111,57.22222222,22.77777778,53.33333333,62.77777778,50.55555556
"85",73.33333333,28.88888889,49.44444444,40.55555556,43.33333333,33.33333333,53.33333333,42.22222222,55,32.22222222,42.22222222,45.55555556,21.11111111,32.22222222
"86",50,27.77777778,30.55555556,28.33333333,72.77777778,54.44444444,23.88888889,73.88888889,38.33333333,37.77777778,45.55555556,33.88888889,20.55555556,61.66666667
"87",73.33333333,63.33333333,36.11111111,26.11111111,41.11111111,62.22222222,60,23.88888889,52.22222222,52.22222222,57.77777778,52.22222222,72.77777778,22.77777778
"88",73.33333333,53.33333333,60,73.88888889,35,48.33333333,46.11111111,41.11111111,24.44444444,63.33333333,60,61.66666667,36.11111111,61.11111111
"89",57.22222222,73.33333333,37.22222222,55.55555556,32.77777778,21.11111111,39.44444444,39.44444444,53.88888889,38.88888889,56.66666667,27.22222222,45,53.88888889
